"source_path","proposed_canonical_destination","action","category","rationale"
"inverse_q_analog_functions_report/finite_pochhammer_branch_atlas.pdf","assets/experiments/functions/figures/finite_pochhammer_branch_atlas.pdf","migrate","vector-figure","Unique branch-atlas rendering generated by the functions experiment; retain the vector PDF in its provenance lane."
"inverse_q_analog_functions_report/inverse_q_analog_functions.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original."
"inverse_q_analog_functions_report/inverse_q_analog_functions.tex","","retire","report-source","Its statements and proofs are deduplicated into the canonical volume and tracked result-by-result in the theorem concordance."
"inverse_q_analog_functions_report/inverse_q_analogs_experiments.py","assets/experiments/functions/scripts/inverse_q_analogs_experiments.py","migrate","python-script","Unique self-contained experiment; after copying under the scripts convention adjust its experiment root to the parent of scripts and route logs and figures to sibling directories."
"inverse_q_analog_functions_report/log_periodic_correction.pdf","assets/experiments/functions/figures/log_periodic_correction.pdf","migrate","vector-figure","Unique vector illustration of the log-periodic correction; retain with the experiment that regenerates it."
"inverse_q_analog_functions_report/numerical_results.tex","","retire","generated-latex-fragment","Report-only generated table fragment; the canonical volume does not input it and the migrated program can reproduce it as a transient byproduct."
"inverse_q_analog_functions_report/numerical_results.txt","assets/experiments/functions/output/numerical_results.txt","migrate","computational-log","Unique committed 80-digit audit log regenerated and printed by the functions experiment."
"inverse_q_analog_functions_report/qgamma_inverse_branches.pdf","assets/experiments/functions/figures/qgamma_inverse_branches.pdf","migrate","vector-figure","Unique q-gamma branch rendering for this experiment; retain separately despite a same-named but content-distinct figure in another lane."
"inverse_q_analog_functions_report/README.md","","retire","source-readme","Scope, commands, dependencies, and proof-versus-evidence status are absorbed into the canonical asset README and provenance ledger."
"inverse_q_analog_functions_report/SHA256SUMS","","retire","checksum-ledger","Package-local paths become obsolete after migration; replace this verified historical ledger with a canonical ledger only after final destinations stabilize."
"inverse_q_analog_jet_atlas/inverse_q_analog_experiments.py","assets/experiments/jet_atlas/scripts/inverse_q_analog_experiments.py","migrate","python-script","Unique exact and high-precision jet audit; after copying under scripts adjust its default output root to the parent experiment while preserving the explicit --output option."
"inverse_q_analog_jet_atlas/inverse_q_analog_jet_atlas.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original."
"inverse_q_analog_jet_atlas/inverse_q_analog_jet_atlas.tex","","retire","report-source","Its inverse-jet results and proofs are merged into the canonical chapters and recorded in the theorem concordance."
"inverse_q_analog_jet_atlas/numerical_checks.txt","assets/experiments/jet_atlas/output/numerical_checks.txt","migrate","computational-log","Unique 80-digit symbolic and numerical audit trail; retain beside the migrated jet-atlas program."
"inverse_q_analog_jet_atlas/README.txt","","retire","source-readme","Its execution contract, snapshot note, and status conventions are consolidated into canonical documentation and provenance."
"inverse_q_analog_jet_atlas/SHA256SUMS.txt","","retire","checksum-ledger","Package-local paths become obsolete after migration; replace this verified historical ledger with a canonical ledger after final copy and path edits."
"inverse_q_analogs_extended_report/data/fabius_recovery.csv","assets/experiments/extended/data/fabius_recovery.csv","migrate","structured-data","Unique generated table for variance and cumulant recovery in the geometric Fabius-Rvachev family."
"inverse_q_analogs_extended_report/data/finite_pochhammer_minus_one.csv","assets/experiments/extended/data/finite_pochhammer_minus_one.csv","migrate","structured-data","Unique exact q=-1 finite q-Pochhammer critical-locus output."
"inverse_q_analogs_extended_report/data/gaussian_inverse_jets.csv","assets/experiments/extended/data/gaussian_inverse_jets.csv","migrate","structured-data","Unique generated Gaussian inverse-jet validation table."
"inverse_q_analogs_extended_report/data/primitive_root_validation.csv","assets/experiments/extended/data/primitive_root_validation.csv","migrate","structured-data","Unique generated primitive-root radial validation table."
"inverse_q_analogs_extended_report/data/qgamma_q0.csv","assets/experiments/extended/data/qgamma_q0.csv","migrate","structured-data","Unique generated q-gamma q-to-zero regime table."
"inverse_q_analogs_extended_report/data/qgamma_q1.csv","assets/experiments/extended/data/qgamma_q1.csv","migrate","structured-data","Unique generated q-gamma q-to-one regime table."
"inverse_q_analogs_extended_report/data/radial_inverse.csv","assets/experiments/extended/data/radial_inverse.csv","migrate","structured-data","Unique generated radial-inverse accuracy table."
"inverse_q_analogs_extended_report/figures/fabius_variance_conditioning.pdf","assets/experiments/extended/figures/fabius_variance_conditioning.pdf","migrate","vector-figure","Unique vector conditioning plot for variance-based contraction recovery."
"inverse_q_analogs_extended_report/figures/fabius_variance_conditioning.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG."
"inverse_q_analogs_extended_report/figures/fabius_variance_inverse.pdf","assets/experiments/extended/figures/fabius_variance_inverse.pdf","migrate","vector-figure","Unique vector plot of the variance inversion map."
"inverse_q_analogs_extended_report/figures/fabius_variance_inverse.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG."
"inverse_q_analogs_extended_report/figures/pochhammer_minus_one_critical.pdf","assets/experiments/extended/figures/pochhammer_minus_one_critical.pdf","migrate","vector-figure","Unique vector plot of the finite q-Pochhammer q=-1 critical geometry."
"inverse_q_analogs_extended_report/figures/pochhammer_minus_one_critical.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG."
"inverse_q_analogs_extended_report/figures/pochhammer_n3_morse_saddle.pdf","assets/experiments/extended/figures/pochhammer_n3_morse_saddle.pdf","migrate","vector-figure","Unique vector rendering of the exceptional n=3 Morse saddle."
"inverse_q_analogs_extended_report/figures/pochhammer_n3_morse_saddle.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG."
"inverse_q_analogs_extended_report/figures/qgamma_q0_regimes.pdf","assets/experiments/extended/figures/qgamma_q0_regimes.pdf","migrate","vector-figure","Unique vector plot of the q-gamma q-to-zero inverse regimes."
"inverse_q_analogs_extended_report/figures/qgamma_q0_regimes.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG."
"inverse_q_analogs_extended_report/figures/radial_inverse_errors.pdf","assets/experiments/extended/figures/radial_inverse_errors.pdf","migrate","vector-figure","Unique vector residual plot for the radial inverse expansion."
"inverse_q_analogs_extended_report/figures/radial_inverse_errors.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG."
"inverse_q_analogs_extended_report/inverse_q_analogs_experiments.py","assets/experiments/extended/scripts/inverse_q_analogs_experiments.py","migrate","python-script","Unique extended experiment; after copying under scripts make the experiment root explicit and route its summary to output while leaving data and figures as sibling directories."
"inverse_q_analogs_extended_report/inverse_q_analogs_extended_report.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original."
"inverse_q_analogs_extended_report/inverse_q_analogs_extended_report.tex","","retire","report-source","Its corrected regimes, certification arguments, and Fabius-Rvachev material are merged into the canonical chapters and concordance."
"inverse_q_analogs_extended_report/numerical_results.tex","","retire","generated-latex-fragment","Report-only generated table fragment; the canonical volume does not input it and regeneration can leave it as an uncommitted transient."
"inverse_q_analogs_extended_report/numerical_summary.txt","assets/experiments/extended/output/numerical_summary.txt","migrate","computational-log","Unique compact summary of the seven extended data groups and their 80-digit run."
"inverse_q_analogs_extended_report/README.md","","retire","source-readme","Scope, commands, output descriptions, snapshot provenance, and status conventions are absorbed into canonical documentation."
"inverse_q_analogs_extended_report/requirements.txt","","retire","dependency-manifest","Replaced by assets/requirements.txt using the componentwise maximum dependency floors across all six experiments."
"inverse_q_analogs_extended_report/SHA256SUMS","","retire","checksum-ledger","Package-local paths become obsolete after migration; replace this verified historical ledger with a canonical post-migration ledger."
"inverse_q_analogs_report/data/finite_critical_values.csv","assets/experiments/branch_geometry/data/finite_critical_values.csv","migrate","structured-data","Unique generated critical-point and critical-value table for finite products."
"inverse_q_analogs_report/data/infinite_critical_asymptotics.csv","assets/experiments/branch_geometry/data/infinite_critical_asymptotics.csv","migrate","structured-data","Unique generated asymptotic table for infinite-product critical branches."
"inverse_q_analogs_report/data/principal_inverse_derivative_signs.csv","assets/experiments/branch_geometry/data/principal_inverse_derivative_signs.csv","migrate","structured-data","Unique generated sign audit through derivative order eight for the principal inverse."
"inverse_q_analogs_report/data/qbinomial_inverse_accuracy.csv","assets/experiments/branch_geometry/data/qbinomial_inverse_accuracy.csv","migrate","structured-data","Unique generated Gaussian inverse-accuracy table."
"inverse_q_analogs_report/data/qgamma_minima.csv","assets/experiments/branch_geometry/data/qgamma_minima.csv","migrate","structured-data","Unique generated q-gamma minima and branch table."
"inverse_q_analogs_report/data/secondary_discriminants.txt","assets/experiments/branch_geometry/data/secondary_discriminants.txt","migrate","computational-data","Unique exact secondary-discriminant audit; retain under data to preserve the program's established DATA contract."
"inverse_q_analogs_report/data/summary.txt","assets/experiments/branch_geometry/data/summary.txt","migrate","computational-data","Unique high-precision n=5 collision summary; retain under data to preserve the program's established DATA contract."
"inverse_q_analogs_report/figures/finite_pochhammer_collision.pdf","assets/experiments/branch_geometry/figures/finite_pochhammer_collision.pdf","migrate","vector-figure","Unique vector visualization of the first finite critical-value collision."
"inverse_q_analogs_report/figures/infinite_critical_asymptotics.pdf","assets/experiments/branch_geometry/figures/infinite_critical_asymptotics.pdf","migrate","vector-figure","Unique vector visualization of infinite critical asymptotics."
"inverse_q_analogs_report/figures/principal_inverse.pdf","assets/experiments/branch_geometry/figures/principal_inverse.pdf","migrate","vector-figure","Unique vector plot of the principal real inverse across several bases."
"inverse_q_analogs_report/figures/qbinomial_inverse_accuracy.pdf","assets/experiments/branch_geometry/figures/qbinomial_inverse_accuracy.pdf","migrate","vector-figure","Unique vector diagnostic for Gaussian inverse accuracy."
"inverse_q_analogs_report/figures/qgamma_inverse_branches.pdf","assets/experiments/branch_geometry/figures/qgamma_inverse_branches.pdf","migrate","vector-figure","Unique q-gamma branch rendering for this experiment; retain separately from the content-distinct functions-lane figure."
"inverse_q_analogs_report/inverse_q_analogs_report.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original."
"inverse_q_analogs_report/inverse_q_analogs_report.tex","","retire","report-source","Its discriminant, remote-branch, and certification material is merged into the canonical chapters and theorem concordance."
"inverse_q_analogs_report/numerical_experiments.py","assets/experiments/branch_geometry/scripts/numerical_experiments.py","migrate","python-script","Unique branch-aware experiment; after copying under scripts change ROOT to the parent experiment so the existing DATA and FIGURES contracts remain sibling directories."
"inverse_q_analogs_report/README.md","","retire","source-readme","Scope, deterministic execution instructions, dependency notes, and evidence-status conventions are consolidated into canonical documentation."
"inverse_q_analogs_report/requirements.txt","","retire","dependency-manifest","Replaced by assets/requirements.txt using the componentwise maximum dependency floors across all six experiments."
"inverse_q_analogs_report/SHA256SUMS","","retire","checksum-ledger","Package-local paths become obsolete after migration; replace this verified historical ledger with a canonical post-migration ledger."
"inverse_q_analogs_report-2/inverse_q_analogs_experiments.py","assets/experiments/compact/scripts/inverse_q_analogs_experiments.py","migrate","python-script","Unique compact ten-experiment suite; after copying under scripts adjust the output path to the parent experiment's output directory."
"inverse_q_analogs_report-2/inverse_q_analogs_report.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original."
"inverse_q_analogs_report-2/inverse_q_analogs_report.tex","","retire","report-source","Its independent synthesis, reciprocal regimes, and coefficient checks are deduplicated into the canonical volume and concordance."
"inverse_q_analogs_report-2/numerical_results.txt","assets/experiments/compact/output/numerical_results.txt","migrate","computational-log","Unique 80-digit output of the compact symbolic and numerical cross-check suite."
"inverse_q_analogs_report-2/README.md","","retire","source-readme","Its run contract, output behavior, and proof-versus-validation convention are absorbed into the canonical asset README."
"inverse_q_analogs_report-2/SHA256SUMS.txt","","retire","checksum-ledger","Package-local paths become obsolete after migration; replace this verified historical ledger with a canonical ledger after final destinations stabilize."
"q_pochhammer_q_binomial_expansions_report/MANIFEST.sha256","","retire","checksum-ledger","Package-local paths and the superseded report set become obsolete; replace this verified historical ledger after canonical migration."
"q_pochhammer_q_binomial_expansions_report/numerical_results.txt","assets/experiments/forward/output/numerical_results.txt","migrate","computational-log","Unique captured stdout from the 80-digit forward-expansion and exact q=1 and q=-1 verification suite."
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.aux","","retire","tex-build-byproduct","Ignored LaTeX auxiliary state; it is reproducible and has no evidentiary or source value."
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.log","","retire","tex-build-byproduct","Ignored LaTeX build transcript for the superseded report; canonical rendering produces its own fresh log."
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.out","","retire","tex-build-byproduct","Ignored hyperref auxiliary output for the superseded report; it is reproducible build state."
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original."
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.tex","","retire","report-source","Its forward expansion engine is integrated into the canonical finite, infinite, Gaussian, and q-special-function chapters and concordance."
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.toc","","retire","tex-build-byproduct","Ignored LaTeX table-of-contents cache; it is reproducible and has no source or evidentiary value."
"q_pochhammer_q_binomial_expansions_report/q_expansion_experiments.py","assets/experiments/forward/scripts/q_expansion_experiments.py","migrate","python-script","Unique exact and high-precision forward-expansion audit; it writes only stdout so moving under scripts needs no output-root rewrite."
"q_pochhammer_q_binomial_expansions_report/README.md","","retire","source-readme","Scope, execution instructions, baseline provenance, and Lean crosswalk are absorbed into canonical documentation and the theorem concordance."
