n,r,s,lambda,LC,OLC,ULC
3,2,1,2,True,True,True
4,2,1,2,True,True,True
4,3,1,3,True,True,True
4,3,2,2,True,True,True
5,2,1,2,True,True,True
5,3,1,3,True,True,False
5,3,2,2,True,True,True
5,4,1,4,True,True,False
5,4,2,3,True,True,False
5,4,3,2,True,True,True
6,2,1,2,True,True,True
6,3,1,3,True,True,False
6,3,2,2,True,True,True
6,4,1,4,True,True,False
6,4,2,3,True,False,False
6,4,3,2,True,True,True
6,5,1,5,True,True,False
6,5,2,4,True,True,False
6,5,3,3,True,True,False
6,5,4,2,True,True,True
7,2,1,2,True,True,True
7,3,1,3,True,False,False
7,3,2,2,True,True,True
7,4,1,4,True,False,False
7,4,2,3,False,False,False
7,4,3,2,True,True,True
7,5,1,5,True,False,False
7,5,2,4,False,False,False
7,5,3,3,False,False,False
7,5,4,2,True,True,True
7,6,1,6,True,True,False
7,6,2,5,True,False,False
7,6,3,4,True,False,False
7,6,4,3,True,False,False
7,6,5,2,True,True,True
8,2,1,2,True,True,True
8,3,1,3,True,False,False
8,3,2,2,True,True,True
8,4,1,4,True,False,False
8,4,2,3,False,False,False
8,4,3,2,True,True,True
8,5,1,5,True,False,False
8,5,2,4,False,False,False
8,5,3,3,False,False,False
8,5,4,2,True,True,True
8,6,1,6,True,False,False
8,6,2,5,False,False,False
8,6,3,4,False,False,False
8,6,4,3,False,False,False
8,6,5,2,True,True,True
8,7,1,7,True,True,False
8,7,2,6,True,False,False
8,7,3,5,True,False,False
8,7,4,4,False,False,False
8,7,5,3,False,False,False
8,7,6,2,True,True,True
9,2,1,2,True,True,True
9,3,1,3,True,False,False
9,3,2,2,True,True,True
9,4,1,4,True,False,False
9,4,2,3,False,False,False
9,4,3,2,True,True,True
9,5,1,5,True,False,False
9,5,2,4,False,False,False
9,5,3,3,False,False,False
9,5,4,2,True,True,True
9,6,1,6,True,False,False
9,6,2,5,False,False,False
9,6,3,4,False,False,False
9,6,4,3,False,False,False
