last_derivative_rank_h,sm_one_top_point,sm_at_least_two_top_points,duplication_jump
0,0,1,1
1,1,2,1
2,2,2,0
3,2,3,1
4,3,3,0
5,3,3,0
6,3,3,0
7,3,4,1
8,4,4,0
9,4,4,0
10,4,4,0
11,4,4,0
12,4,4,0
13,4,4,0
14,4,4,0
15,4,5,1
16,5,5,0
17,5,5,0
18,5,5,0
19,5,5,0
20,5,5,0
21,5,5,0
22,5,5,0
23,5,5,0
24,5,5,0
25,5,5,0
26,5,5,0
27,5,5,0
28,5,5,0
29,5,5,0
30,5,5,0
31,5,6,1
32,6,6,0
33,6,6,0
34,6,6,0
35,6,6,0
36,6,6,0
37,6,6,0
38,6,6,0
39,6,6,0
40,6,6,0
41,6,6,0
42,6,6,0
43,6,6,0
44,6,6,0
45,6,6,0
46,6,6,0
47,6,6,0
48,6,6,0
49,6,6,0
50,6,6,0
51,6,6,0
52,6,6,0
53,6,6,0
54,6,6,0
55,6,6,0
56,6,6,0
57,6,6,0
58,6,6,0
59,6,6,0
60,6,6,0
61,6,6,0
62,6,6,0
63,6,7,1
64,7,7,0
65,7,7,0
66,7,7,0
67,7,7,0
68,7,7,0
69,7,7,0
70,7,7,0
71,7,7,0
72,7,7,0
73,7,7,0
74,7,7,0
75,7,7,0
76,7,7,0
77,7,7,0
78,7,7,0
79,7,7,0
80,7,7,0
81,7,7,0
82,7,7,0
83,7,7,0
84,7,7,0
85,7,7,0
86,7,7,0
87,7,7,0
88,7,7,0
89,7,7,0
90,7,7,0
91,7,7,0
92,7,7,0
93,7,7,0
94,7,7,0
95,7,7,0
96,7,7,0
97,7,7,0
98,7,7,0
99,7,7,0
100,7,7,0
101,7,7,0
102,7,7,0
103,7,7,0
104,7,7,0
105,7,7,0
106,7,7,0
107,7,7,0
108,7,7,0
109,7,7,0
110,7,7,0
111,7,7,0
112,7,7,0
113,7,7,0
114,7,7,0
115,7,7,0
116,7,7,0
117,7,7,0
118,7,7,0
119,7,7,0
120,7,7,0
121,7,7,0
122,7,7,0
123,7,7,0
124,7,7,0
125,7,7,0
126,7,7,0
127,7,8,1
128,8,8,0
