entry_kind,source_revision,source_path,source_sha256,source_bytes,source_disposition,live_path,live_sha256,live_bytes,provenance_note
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/dyadic_comb_experiments.py,8d83758532747a1c15ef0ca334ecd2c2d03b986bc5063b3212a24793f31f30c2,26239,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/dyadic_comb_experiments.py,8d83758532747a1c15ef0ca334ecd2c2d03b986bc5063b3212a24793f31f30c2,26239,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/exactness_matrix.csv,e3343b906f08494cd2b0fe399155ea38b9d3702dbefce9447ae4d1401f8619d7,243,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/exactness_matrix.csv,e3343b906f08494cd2b0fe399155ea38b9d3702dbefce9447ae4d1401f8619d7,243,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/exactness_matrix.tex,46732239fb10cf8a6f6fb9783e8c81999da7634bf5d3a68bff1284c4bf317a77,1421,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/exactness_matrix.tex,46732239fb10cf8a6f6fb9783e8c81999da7634bf5d3a68bff1284c4bf317a77,1421,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/first_defects.csv,84bd26f1847198ab82c3341ccb5da7ac87ab420b805d9366526cd981de7e98a0,247,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/first_defects.csv,84bd26f1847198ab82c3341ccb5da7ac87ab420b805d9366526cd981de7e98a0,247,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/first_defects.tex,2ea10bc6283e0088209a2cb85379ebcf28e1567988a2949798019b4006769932,554,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/first_defects.tex,2ea10bc6283e0088209a2cb85379ebcf28e1567988a2949798019b4006769932,554,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/fractional_values.csv,e9f1d5c4f3a7fa0309d7f56ecacba4149890ff9548351c35430af76a4e7dfa65,790,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/fractional_values.csv,e9f1d5c4f3a7fa0309d7f56ecacba4149890ff9548351c35430af76a4e7dfa65,790,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/fractional_values.tex,e953ecb3a2c683b00e73e159800f9f0beeff8044c26673ca5b8f2f06a85c6afa,576,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/fractional_values.tex,e953ecb3a2c683b00e73e159800f9f0beeff8044c26673ca5b8f2f06a85c6afa,576,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/generating_functions.txt,23a5000c9ac4138647c9b7c8306e56f8bb643683a722b14326e2edd45941aec6,337,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/generating_functions.txt,23a5000c9ac4138647c9b7c8306e56f8bb643683a722b14326e2edd45941aec6,337,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/integer_closed_forms.csv,dcf12f88b5ef5ee2ccd757574a8b7af6d52f5784534b3825480803498b6fb804,568,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/integer_closed_forms.csv,dcf12f88b5ef5ee2ccd757574a8b7af6d52f5784534b3825480803498b6fb804,568,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/integer_closed_forms.tex,3f9fdc946301752e38ef8cf2ac55c05dba2ebea812ccd94f111469e07abb57c4,1172,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/integer_closed_forms.tex,3f9fdc946301752e38ef8cf2ac55c05dba2ebea812ccd94f111469e07abb57c4,1172,Byte-identical payload retained from the pinned source tree.
