source_key,source_package,source_file,source_line,source_label,source_kind,source_title,source_chapter,source_section_path,source_proof_present,canonical_label,canonical_status,disposition_notes
q_pochhammer_q_binomial_monograph:unlabelled-definition-001,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,206,,definition,,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Definitions and first examples,no,,not applicable,Retained as the unlabeled canonical definition 'line 206'; the historical source line and section path identify it exactly.
q_pochhammer_q_binomial_monograph:prop:concat,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,240,prop:concat,proposition,Concatenation law,The algebra of \texorpdfstring{$q$,"The finite algebra / The algebra of \texorpdfstring{$q$ / Concatenation, dissection, and reversal",yes,prop:concat,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:prop:dissection,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,261,prop:dissection,proposition,Dissection into residue classes,The algebra of \texorpdfstring{$q$,"The finite algebra / The algebra of \texorpdfstring{$q$ / Concatenation, dissection, and reversal",yes,prop:dissection,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:dissection-remainder,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,280,cor:dissection-remainder,corollary,Dissection with a remainder,The algebra of \texorpdfstring{$q$,"The finite algebra / The algebra of \texorpdfstring{$q$ / Concatenation, dissection, and reversal",yes,cor:dissection-remainder,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:prop:base-reversal,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,322,prop:base-reversal,proposition,Base reversal,The algebra of \texorpdfstring{$q$,"The finite algebra / The algebra of \texorpdfstring{$q$ / Concatenation, dissection, and reversal",yes,prop:base-reversal,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:unlabelled-definition-002,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,355,,definition,,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Negative indices,no,,not applicable,Retained as the unlabeled canonical definition 'line 355'; the historical source line and section path identify it exactly.
q_pochhammer_q_binomial_monograph:prop:negative-index,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,363,prop:negative-index,proposition,Closed form for a negative index,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Negative indices,yes,prop:negative-index,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:qminusN,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,391,cor:qminusN,corollary,A terminating factor,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Negative indices,yes,cor:qminusN,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:partial-fraction,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,418,thm:partial-fraction,theorem,Finite partial-fraction decomposition,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Partial fractions and logarithmic derivatives,yes,thm:partial-fraction,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:prop:logder-finite,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,444,prop:logder-finite,proposition,Logarithmic derivatives,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Partial fractions and logarithmic derivatives,yes,prop:logder-finite,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:poch-entire,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,463,thm:poch-entire,theorem,Convergence and zero set,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Infinite products and Lambert series,yes,thm:poch-entire,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:def:complex-qshift,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,490,def:complex-qshift,definition,,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Infinite products and Lambert series / Complex orders,no,def:complex-qshift,not applicable,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:prop:complex-concat,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,500,prop:complex-concat,proposition,Complex concatenation,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Infinite products and Lambert series / Complex orders,yes,prop:complex-concat,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:prop:order-derivative,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,533,prop:order-derivative,proposition,Derivative with respect to the order,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Infinite products and Lambert series / Complex orders,yes,prop:order-derivative,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:lambert-log,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,555,thm:lambert-log,theorem,Lambert-series expansion,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Infinite products and Lambert series / Complex orders,yes,thm:lambert-log,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:divisor-sum,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,584,cor:divisor-sum,corollary,Divisor sums,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Infinite products and Lambert series / Complex orders,yes,cor:divisor-sum,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:poch-dilog,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,607,thm:poch-dilog,theorem,Asymptotic expansion near $q=1$,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / The dilogarithmic limit,yes,thm:poch-dilog,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:prop:classical-poch-limit,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,655,prop:classical-poch-limit,proposition,Finite classical limit,The algebra of \texorpdfstring{$q$,The finite algebra / The algebra of \texorpdfstring{$q$ / Classical shifted factorials as a limit,yes,prop:classical-poch-limit,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:unlabelled-definition-004,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,679,,definition,,\texorpdfstring{$q$,The finite algebra / \texorpdfstring{$q$ / Definitions,no,,not applicable,Retained as the unlabeled canonical definition 'line 679'; the historical source line and section path identify it exactly.
q_pochhammer_q_binomial_monograph:prop:qbinom-products,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,697,prop:qbinom-products,proposition,Product forms,\texorpdfstring{$q$,The finite algebra / \texorpdfstring{$q$ / Definitions,yes,prop:qbinom-products,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:qpascal,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,712,thm:qpascal,theorem,$q$-Pascal recurrences,\texorpdfstring{$q$,The finite algebra / \texorpdfstring{$q$ / The two Pascal recurrences,yes,thm:qpascal,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:positivity,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,733,cor:positivity,corollary,Polynomiality and positivity,\texorpdfstring{$q$,The finite algebra / \texorpdfstring{$q$ / The two Pascal recurrences,yes,cor:positivity,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:qbinom-structure,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,743,thm:qbinom-structure,theorem,Elementary structure,\texorpdfstring{$q$,"The finite algebra / \texorpdfstring{$q$ / Symmetry, reciprocity, and degree",yes,thm:qbinom-structure,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:qbinom-neg-one-odd,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,801,cor:qbinom-neg-one-odd,corollary,Odd reciprocal degree at \(q=-1\),\texorpdfstring{$q$,"The finite algebra / \texorpdfstring{$q$ / Symmetry, reciprocity, and degree",yes,cor:qbinom-neg-one-odd,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:qbinom-classical,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,834,cor:qbinom-classical,corollary,Classical limit,\texorpdfstring{$q$,"The finite algebra / \texorpdfstring{$q$ / Symmetry, reciprocity, and degree",yes,cor:qbinom-classical,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:unlabelled-definition-005,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,847,,definition,,\texorpdfstring{$q$,The finite algebra / \texorpdfstring{$q$ / Multinomial coefficients and flags,no,,not applicable,Retained as the unlabeled canonical definition 'line 847'; the historical source line and section path identify it exactly.
