# m n family_key | target_columns | row_permutation | column_permutation | predecessor_columns
6 6 4507997690675240 | 3 5 14 24 42 52 | 0 1 2 4 3 5 | 0 1 4 3 5 2 | 3 5 2 24 48 12
6 6 1128098963669032 | 3 5 14 25 41 50 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 14 40 25 50
6 7 5631698591039528 | 3 5 14 25 41 50 52 | 0 1 2 3 4 5 | 1 6 2 3 4 0 5 | 1 4 14 25 41 2 48
6 6 18016597566308392 | 3 5 14 25 41 54 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 14 40 25 54
6 6 285873056792616 | 3 5 14 25 42 48 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 3 4 10 1 24 48
6 7 18581746542985256 | 3 5 14 25 42 49 54 | 0 1 2 3 4 5 | 0 1 3 5 4 6 2 | 3 5 8 17 42 48 6
6 7 1153488852640350248 | 3 5 14 25 42 49 60 | 0 1 2 3 4 5 | 2 1 6 3 4 0 5 | 2 5 12 25 42 1 48
6 7 5633897614295080 | 3 5 14 25 42 50 52 | 0 1 2 3 4 5 | 0 1 4 3 5 6 2 | 3 5 10 25 34 48 4
6 6 4507997707452456 | 3 5 14 25 42 52 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 3 4 10 1 24 52
6 7 76565591745380392 | 3 5 14 25 42 52 56 | 0 1 2 3 4 5 | 0 1 4 3 6 2 5 | 3 5 10 25 40 4 48
6 7 1153488852673904680 | 3 5 14 26 42 49 60 | 0 1 2 3 4 5 | 2 1 6 3 4 0 5 | 2 5 12 26 42 1 48
6 7 148623185816862760 | 3 5 14 26 42 52 57 | 0 1 2 3 5 4 | 0 1 2 4 3 5 6 | 3 5 14 40 26 52 57
6 7 162133984698974248 | 3 5 14 26 42 54 57 | 0 1 2 3 5 4 | 0 1 2 4 3 5 6 | 3 5 14 40 26 54 57
6 6 299067229880360 | 3 5 14 26 44 48 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 3 5 10 16 12 32
6 6 580542206591016 | 3 5 14 26 44 49 | 0 1 2 3 5 4 | 0 1 3 4 2 5 | 3 5 10 40 12 49
6 7 72638136244518952 | 3 5 14 26 44 49 56 | 0 1 2 3 4 5 | 0 1 3 6 2 5 4 | 3 5 10 24 12 49 40
6 7 5647091787382824 | 3 5 14 26 44 50 52 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 | 3 5 14 8 36 18 48
6 8 149762279863238696 | 3 5 14 26 44 50 52 57 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 7 | 3 5 14 8 36 18 48 57
6 7 145258680235868200 | 3 5 14 26 44 50 57 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 5 10 18 12 32 57
6 6 1198467691053096 | 3 5 24 41 46 50 | 0 1 2 4 3 5 | 0 3 2 5 1 4 | 3 1 24 48 4 42
6 7 5702067318423592 | 3 5 24 41 46 50 52 | 0 1 2 3 4 5 | 1 6 2 3 4 0 5 | 1 4 24 41 46 2 48
6 6 5631698574245928 | 3 5 24 41 50 52 | 0 1 2 3 4 5 | 1 5 2 3 0 4 | 1 4 24 41 2 48
6 6 18036388758814760 | 3 5 24 42 44 54 | 0 1 2 3 4 5 | 1 4 2 0 3 5 | 1 4 24 2 40 54
6 6 1128100037394472 | 3 5 25 30 41 50 | 0 1 2 4 3 5 | 4 1 2 3 5 0 | 1 5 25 30 48 2
6 7 5631699664764968 | 3 5 25 30 41 50 52 | 0 1 2 3 4 5 | 1 6 2 3 4 0 5 | 1 4 25 30 41 2 48
6 6 18016598640033832 | 3 5 25 30 41 54 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 3 5 24 22 9 32
6 6 1154049603570499624 | 3 5 25 41 50 60 | 0 1 2 3 5 4 | 0 1 3 2 4 5 | 3 5 40 25 50 60
6 6 306246973718003752 | 3 5 25 41 54 58 | 0 1 2 3 4 5 | 0 2 5 3 1 4 | 3 1 24 41 4 50
6 6 1147890172952616 | 3 5 25 42 44 50 | 0 1 2 3 4 5 | 1 4 2 0 3 5 | 1 4 25 2 40 50
6 7 5651489800323112 | 3 5 25 42 44 50 52 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 | 3 5 25 40 36 34 48
6 6 18036388775591976 | 3 5 25 42 44 54 | 0 1 2 3 4 5 | 1 4 2 0 3 5 | 1 4 25 2 40 54
6 7 90093982813519912 | 3 5 25 42 44 54 56 | 0 1 2 3 4 5 | 0 2 6 3 1 5 4 | 3 1 24 42 4 54 40
6 6 1154051802593755176 | 3 5 25 42 50 60 | 0 1 2 3 5 4 | 2 1 3 0 4 5 | 1 5 40 2 50 60
6 6 76565591745364008 | 3 5 25 42 52 56 | 0 1 2 3 4 5 | 0 2 5 3 1 4 | 3 1 24 42 4 48
6 6 90076390627475496 | 3 5 25 42 54 56 | 0 1 2 3 4 5 | 2 1 5 0 4 3 | 1 5 24 2 54 40
6 6 4507998009425960 | 3 5 26 28 42 52 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 3 5 24 20 10 32
6 7 148623186085281832 | 3 5 26 28 42 52 57 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 5 24 20 10 32 57
6 6 148623185816846376 | 3 5 26 42 52 57 | 0 1 2 3 5 4 | 0 1 3 2 4 5 | 3 5 40 26 52 57
6 6 162133984698957864 | 3 5 26 42 54 57 | 0 1 2 3 5 4 | 0 1 3 2 4 5 | 3 5 40 26 54 57
6 6 4535554674696 | 3 12 21 26 37 42 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 3 12 16 10 5 32
6 7 18018934064156680 | 3 12 21 26 37 42 54 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 12 16 10 5 32 54
6 8 162134122140012552 | 3 12 21 26 37 42 54 57 | 0 1 2 3 4 5 | 0 1 2 6 7 5 4 3 | 3 12 21 18 33 42 36 24
6 6 1126037415006216 | 3 12 21 26 37 50 | 0 1 2 3 5 4 | 0 2 4 1 5 3 | 3 4 37 8 16 18
6 7 145241225490862088 | 3 12 21 26 37 50 57 | 0 1 2 3 5 4 | 0 2 4 1 5 3 6 | 3 4 37 8 16 18 57
6 7 162129724093501448 | 3 12 21 26 37 54 57 | 0 1 2 3 4 5 | 0 1 2 5 6 4 3 | 3 12 21 18 33 36 24
6 6 2473970372616 | 3 12 21 26 38 41 | 0 1 2 3 5 4 | 0 1 4 5 3 2 | 3 12 36 40 18 17
6 7 283948947083272 | 3 12 21 26 38 41 48 | 0 1 2 3 5 4 | 0 1 4 5 3 2 6 | 3 12 36 40 18 17 48
6 7 565423923793928 | 3 12 21 26 38 41 49 | 0 1 2 3 4 5 | 0 2 6 3 4 1 5 | 3 4 17 26 38 8 33
6 6 281749923827720 | 3 12 21 26 38 48 | 0 1 2 4 5 3 | 2 4 1 3 0 5 | 1 36 12 10 2 16
6 6 563224900538376 | 3 12 21 26 38 49 | 0 1 2 4 5 3 | 2 4 1 3 0 5 | 1 36 12 10 2 17
6 7 72620818938466312 | 3 12 21 26 38 49 56 | 0 1 2 3 4 5 | 0 2 5 3 4 6 1 | 3 4 17 26 38 48 8
6 7 145241362929815560 | 3 12 21 26 38 50 57 | 0 1 2 3 4 5 | 0 3 2 5 1 4 6 | 3 8 21 18 4 34 57
6 6 144115463022972936 | 3 12 21 26 38 57 | 0 1 2 4 5 3 | 2 4 1 3 0 5 | 1 36 12 10 2 57
6 6 73183631385825288 | 3 12 21 37 50 56 | 0 1 2 3 5 4 | 0 1 3 2 4 5 | 3 12 36 21 50 56
6 6 145241225423753224 | 3 12 21 37 50 57 | 0 1 2 3 5 4 | 0 1 3 2 4 5 | 3 12 36 21 50 57
6 6 162129724026392584 | 3 12 21 37 54 57 | 0 1 2 3 5 4 | 0 1 3 2 4 5 | 3 12 36 21 54 57
6 6 72620818871357448 | 3 12 21 38 49 56 | 0 1 2 3 4 5 | 0 2 4 3 5 1 | 3 4 17 38 48 8
6 6 288793600985141256 | 3 12 21 38 49 58 | 0 1 2 3 5 4 | 2 1 3 0 4 5 | 1 12 36 2 49 58
6 6 148619062583234568 | 3 12 21 38 52 57 | 0 1 2 3 4 5 | 2 1 4 0 3 5 | 1 12 20 2 36 57
6 6 18581746511515656 | 3 12 21 42 49 54 | 0 1 2 4 3 5 | 0 2 4 5 3 1 | 3 20 1 50 40 12
6 7 90639340549443592 | 3 12 21 42 49 54 56 | 0 1 2 3 4 5 | 0 1 4 5 6 2 3 | 3 12 17 34 48 20 40
6 6 72624942039961608 | 3 12 21 42 49 56 | 0 1 2 3 4 5 | 0 2 4 3 5 1 | 3 4 17 42 48 8
6 6 162133984633950216 | 3 12 21 42 54 57 | 0 1 2 3 4 5 | 0 1 4 5 3 2 | 3 12 20 40 34 17
6 7 18018934064160776 | 3 13 21 26 37 42 54 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 13 16 10 5 32 54
6 8 162134122140016648 | 3 13 21 26 37 42 54 57 | 0 1 2 3 4 5 | 0 1 2 6 7 5 4 3 | 3 13 21 18 33 42 36 24
6 7 1152926040161525768 | 3 13 21 26 37 42 60 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 13 16 10 5 32 60
6 7 72128100290273288 | 3 13 21 26 37 46 56 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 13 16 10 5 36 56
6 7 144185694328201224 | 3 13 21 26 37 46 57 | 0 1 2 3 4 5 | 0 1 2 5 6 4 3 | 3 13 21 10 33 36 24
6 6 2473970376712 | 3 13 21 26 38 41 | 0 1 2 3 5 4 | 0 1 4 5 3 2 | 3 13 36 40 18 17
6 7 565423923798024 | 3 13 21 26 38 41 49 | 0 1 2 3 4 5 | 0 2 6 3 4 1 5 | 3 5 17 26 38 9 33
6 7 1128373877219336 | 3 13 21 26 38 41 50 | 0 1 2 3 5 4 | 0 1 4 5 3 2 6 | 3 13 36 40 18 17 50
6 7 4506073597747208 | 3 13 21 26 38 41 52 | 0 1 2 3 4 5 | 0 2 6 3 4 1 5 | 3 5 20 26 38 9 32
6 8 76563667635675144 | 3 13 21 26 38 41 52 56 | 0 1 2 3 4 5 | 0 1 2 4 6 5 7 3 | 3 13 21 2 36 41 48 24
6 7 4508272621002760 | 3 13 21 26 38 42 52 | 0 1 2 3 4 5 | 0 1 2 5 6 4 3 | 3 13 21 10 36 34 16
6 7 144119861069488136 | 3 13 21 26 38 42 57 | 0 1 2 3 4 5 | 0 1 4 3 5 6 2 | 3 13 4 26 34 40 17
6 7 72075461171093512 | 3 13 21 26 38 44 56 | 0 1 2 3 4 5 | 0 1 2 4 5 6 3 | 3 13 21 2 36 40 24
6 6 72057868985049096 | 3 13 21 26 38 56 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 3 5 36 8 18 56
6 6 144115463022977032 | 3 13 21 26 38 57 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 3 5 36 8 18 57
6 7 635517790068744 | 3 13 21 26 41 46 49 | 0 1 2 3 4 5 | 0 2 6 3 1 5 4 | 3 5 17 26 9 46 33
6 6 4505798719840264 | 3 13 21 26 41 52 | 0 1 2 3 4 5 | 0 2 5 3 1 4 | 3 5 20 26 9 32
6 7 76563392757768200 | 3 13 21 26 41 52 56 | 0 1 2 3 4 5 | 0 1 4 3 6 2 5 | 3 13 1 26 40 20 48
6 6 18016597601951752 | 3 13 21 26 41 54 | 0 1 2 4 5 3 | 0 2 1 3 4 5 | 3 5 13 10 33 22
6 7 90074191639879688 | 3 13 21 26 41 54 56 | 0 1 2 3 4 5 | 0 2 6 3 1 5 4 | 3 5 16 26 9 54 40
6 7 4525589929140232 | 3 13 21 26 42 44 52 | 0 1 2 3 4 5 | 0 1 2 4 5 6 3 | 3 13 21 10 40 36 16
6 6 4507997743095816 | 3 13 21 26 42 52 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 3 5 32 8 26 52
6 7 162133984701063176 | 3 13 21 26 42 54 57 | 0 1 2 3 4 5 | 0 1 5 3 6 4 2 | 3 13 20 26 40 34 17
6 7 144185695334834184 | 3 13 21 30 37 46 57 | 0 1 2 3 4 5 | 0 1 2 5 6 4 3 | 3 13 21 14 33 36 24
6 6 72057732552728584 | 3 13 21 30 37 56 | 0 1 2 4 3 5 | 0 2 1 3 4 5 | 3 20 13 30 37 56
6 6 288230514666512392 | 3 13 21 30 37 58 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 3 13 20 26 5 32
6 6 144115464029609992 | 3 13 21 30 38 57 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 3 5 36 12 22 57
6 7 635518796701704 | 3 13 21 30 41 46 49 | 0 1 2 3 4 5 | 0 1 2 5 6 4 3 | 3 13 21 14 33 40 16
6 7 288795526204235784 | 3 13 21 30 41 49 58 | 0 1 2 3 4 5 | 0 1 3 6 2 5 4 | 3 13 20 26 1 49 40
6 6 1128100005945352 | 3 13 21 30 41 50 | 0 1 2 3 4 5 | 0 3 2 5 1 4 | 3 12 21 18 9 32
6 7 5631699633315848 | 3 13 21 30 41 50 52 | 0 1 2 3 4 5 | 0 2 6 1 4 3 5 | 3 5 20 12 41 18 48
6 8 77689293671243784 | 3 13 21 30 41 50 52 56 | 0 1 2 3 4 5 | 0 1 4 3 7 5 2 6 | 3 13 1 30 40 50 20 48
6 7 73185694043873288 | 3 13 21 30 41 50 56 | 0 1 2 3 4 5 | 0 2 6 3 1 5 4 | 3 5 16 30 9 50 40
6 7 76563393764401160 | 3 13 21 30 41 52 56 | 0 1 2 3 4 5 | 0 1 4 3 6 2 5 | 3 13 1 30 40 20 48
6 7 145245487105056776 | 3 13 21 30 42 50 57 | 0 1 2 3 4 5 | 0 1 3 4 6 5 2 | 3 13 20 10 40 50 17
6 6 4755801343944302600 | 3 13 21 37 57 62 | 0 1 2 3 5 4 | 0 1 3 2 4 5 | 3 13 36 21 57 62
6 6 1441152018199617544 | 3 13 21 37 58 60 | 0 1 2 3 4 5 | 1 5 2 3 0 4 | 1 12 21 37 2 56
6 7 292751842845138952 | 3 13 21 38 44 52 58 | 0 1 2 3 4 5 | 0 2 5 3 1 4 6 | 3 5 20 38 12 36 58
6 6 72075461103984648 | 3 13 21 38 44 56 | 0 1 2 3 4 5 | 0 2 5 3 1 4 | 3 5 16 38 12 40
6 6 288248243217768456 | 3 13 21 38 44 58 | 0 1 2 3 4 5 | 1 4 2 0 3 5 | 1 12 21 2 36 58
6 6 4612251167406170120 | 3 13 21 41 49 62 | 0 1 2 3 4 5 | 0 2 4 1 3 5 | 3 5 17 9 33 62
6 7 77689292597501960 | 3 13 21 41 50 52 56 | 0 1 2 3 4 5 | 0 1 3 6 4 2 5 | 3 13 1 40 50 20 48
6 6 292736174804443144 | 3 13 21 41 52 58 | 0 1 2 3 4 5 | 0 2 4 1 3 5 | 3 5 20 9 32 58
6 6 306246973686554632 | 3 13 21 41 54 58 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 3 13 1 40 20 50
6 6 1147890141503496 | 3 13 21 42 44 50 | 0 1 2 3 4 5 | 0 2 5 1 4 3 | 3 5 16 8 44 34
6 7 5651489768873992 | 3 13 21 42 44 50 52 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 | 3 13 21 40 36 34 48
6 7 90093982782070792 | 3 13 21 42 44 54 56 | 0 1 2 3 4 5 | 0 2 5 1 4 3 6 | 3 5 20 8 44 34 56
6 6 1154051802562306056 | 3 13 21 42 50 60 | 0 1 2 3 4 5 | 0 2 4 1 3 5 | 3 5 16 8 34 60
6 6 76565591713914888 | 3 13 21 42 52 56 | 0 1 2 3 4 5 | 0 2 4 3 5 1 | 3 5 20 42 48 8
6 6 90076390596026376 | 3 13 21 42 54 56 | 0 1 2 3 4 5 | 0 2 4 1 3 5 | 3 5 20 8 34 56
6 6 162133984633954312 | 3 13 21 42 54 57 | 0 1 2 3 4 5 | 0 1 4 5 3 2 | 3 13 20 40 34 17
6 6 292751567967232008 | 3 13 21 44 52 58 | 0 1 2 3 4 5 | 0 2 4 1 3 5 | 3 5 20 12 36 58
6 6 90089584735559688 | 3 13 21 44 54 56 | 0 1 2 3 4 5 | 0 2 5 1 4 3 | 3 5 16 12 54 40
6 6 162199955331620872 | 3 13 21 46 54 57 | 0 1 2 3 4 5 | 0 1 4 5 3 2 | 3 13 20 40 38 17
6 7 584940458614792 | 3 13 22 28 42 44 49 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 3 13 20 12 2 40 49
6 6 567348272570376 | 3 13 22 28 42 49 | 0 1 2 3 4 5 | 1 3 0 2 4 5 | 1 12 2 20 42 49
6 7 72624942310498312 | 3 13 22 28 42 49 56 | 0 1 2 3 4 5 | 0 1 3 6 2 5 4 | 3 13 20 24 2 49 40
6 6 76565591716012040 | 3 13 22 42 52 56 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 3 13 2 40 20 48
6 6 297255167860940808 | 3 13 28 44 53 58 | 0 1 2 3 5 4 | 0 1 3 2 4 5 | 3 13 40 28 53 58
6 8 297255202221197440 | 7 11 19 28 35 44 53 58 | 0 1 2 3 4 5 | 0 1 2 6 7 5 4 3 | 7 11 19 20 34 44 33 24
6 7 18049617510271104 | 7 11 19 28 35 45 54 | 0 1 2 3 4 5 | 0 1 2 5 6 4 3 | 7 11 19 12 34 33 20
6 7 1128236638013568 | 7 11 19 28 37 41 50 | 0 1 2 3 4 5 | 0 2 6 3 4 1 5 | 7 3 18 28 37 9 32
6 8 5631836265384064 | 7 11 19 28 37 41 50 52 | 0 1 2 3 4 5 | 0 1 2 5 7 4 6 3 | 7 11 19 8 36 33 50 20
6 6 4535754426496 | 7 11 19 28 37 42 | 0 1 2 3 4 5 | 1 5 2 3 0 4 | 3 10 19 28 5 32
6 7 22127940470912 | 7 11 19 28 37 42 44 | 0 1 2 3 4 5 | 0 2 3 6 4 1 5 | 7 3 16 12 37 10 40
6 7 4508135381796992 | 7 11 19 28 37 42 52 | 0 1 2 3 4 5 | 1 3 2 6 0 5 4 | 3 8 19 20 5 42 36
6 7 288248106045671552 | 7 11 19 28 37 44 58 | 0 1 2 3 4 5 | 0 1 4 3 5 6 2 | 7 11 1 28 36 40 18
6 6 288230513859627136 | 7 11 19 28 37 58 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 7 3 33 8 20 58
6 7 297255167861459072 | 7 11 19 28 44 53 58 | 0 1 2 3 4 5 | 0 1 5 3 6 4 2 | 7 11 17 28 40 36 18
6 8 306279993930418304 | 7 11 19 29 35 45 54 58 | 0 1 2 3 4 5 | 0 1 2 5 4 6 7 3 | 7 11 19 13 35 36 50 24
6 7 1152991908248160384 | 7 11 19 29 35 46 60 | 0 1 2 3 4 5 | 0 1 2 4 5 6 3 | 7 11 19 1 34 44 28
6 8 4612251305380415616 | 7 11 19 29 37 41 49 62 | 0 1 2 3 4 5 | 0 2 6 3 4 1 5 7 | 7 3 17 29 37 9 33 62
6 7 4611688355426994304 | 7 11 19 29 37 41 62 | 0 1 2 3 4 5 | 1 5 2 3 0 4 6 | 3 9 19 29 5 33 62
6 8 1148028115748992 | 7 11 19 29 37 42 44 50 | 0 1 2 3 4 5 | 0 1 3 6 4 2 5 7 | 7 11 17 12 37 2 40 50
6 9 5651627743119488 | 7 11 19 29 37 42 44 50 52 | 0 1 2 3 4 5 | 0 1 2 3 4 6 8 5 7 | 7 11 19 29 37 40 36 34 48
6 8 4525727836276864 | 7 11 19 29 37 42 44 52 | 0 1 2 3 4 5 | 0 1 3 6 4 2 5 7 | 7 11 17 12 37 2 40 52
6 7 4508135650232448 | 7 11 19 29 37 42 52 | 0 1 2 3 4 5 | 0 3 2 6 4 1 5 | 7 9 19 20 37 10 32
6 8 292751705941477504 | 7 11 19 29 37 44 52 58 | 0 1 2 3 4 5 | 0 1 3 5 4 7 6 2 | 7 11 17 12 37 40 52 18
6 7 288248106314107008 | 7 11 19 29 37 44 58 | 0 1 2 3 4 5 | 0 1 3 5 4 6 2 | 7 11 17 12 37 40 18
6 8 1154052077975505024 | 7 11 19 29 38 42 50 60 | 0 1 2 3 4 5 | 0 1 3 7 2 5 6 4 | 7 11 17 28 2 42 50 36
6 7 4508273089185920 | 7 11 19 29 38 42 52 | 0 1 2 3 4 5 | 0 2 6 3 5 1 4 | 7 3 16 29 34 10 36
6 8 76565867127113856 | 7 11 19 29 38 42 52 56 | 0 1 2 3 4 5 | 0 1 2 3 5 7 4 6 | 7 11 19 29 34 40 36 48
6 7 1152926178068662400 | 7 11 19 29 38 42 60 | 0 1 2 3 4 5 | 0 1 3 6 2 5 4 | 7 11 17 28 2 42 36
6 8 292751843380430976 | 7 11 19 29 38 44 52 58 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 7 | 7 11 17 12 2 36 52 58
6 7 72075461639276672 | 7 11 19 29 38 44 56 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 7 11 17 12 2 36 56
6 7 288248243753060480 | 7 11 19 29 38 44 58 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 7 11 17 12 2 36 58
6 6 72057869453232256 | 7 11 19 29 38 56 | 0 1 2 3 4 5 | 3 1 2 5 0 4 | 5 11 19 24 6 32
6 7 292751568502524032 | 7 11 19 29 44 52 58 | 0 1 2 3 4 5 | 0 1 3 4 6 5 2 | 7 11 17 12 40 52 18
6 7 306279959570679936 | 7 11 19 29 45 54 58 | 0 1 2 3 4 5 | 0 1 2 4 5 6 3 | 7 11 19 13 36 50 24
6 7 4612251304843544704 | 7 11 19 37 41 49 62 | 0 1 2 3 4 5 | 0 2 5 3 1 4 6 | 7 3 17 37 9 33 62
6 8 77689430034876544 | 7 11 19 37 41 50 52 56 | 0 1 2 3 4 5 | 0 1 2 4 7 5 3 6 | 7 11 19 33 40 50 36 48
6 7 1154049740976425088 | 7 11 19 37 41 50 60 | 0 1 2 3 4 5 | 0 2 5 3 1 4 6 | 7 3 18 37 9 32 60
6 7 4525727299405952 | 7 11 19 37 42 44 52 | 0 1 2 3 4 5 | 0 2 6 3 1 4 5 | 7 3 16 37 10 40 36
6 7 76565729151289472 | 7 11 19 37 42 52 56 | 0 1 2 3 4 5 | 0 2 6 3 1 5 4 | 7 3 16 37 10 52 40
6 6 1152926040092838016 | 7 11 19 37 42 60 | 0 1 2 3 4 5 | 1 4 2 0 3 5 | 3 10 19 5 32 60
6 7 292751705404606592 | 7 11 19 37 44 52 58 | 0 1 2 3 4 5 | 0 1 3 4 6 5 2 | 7 11 1 36 40 52 18
6 6 1441152018198038656 | 7 11 19 37 58 60 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 7 11 1 36 18 56
6 6 297255167593023616 | 7 11 19 44 53 58 | 0 1 2 3 4 5 | 0 1 4 5 3 2 | 7 11 17 40 36 18
6 7 4508272587442304 | 7 11 21 25 38 42 52 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 7 11 17 8 4 34 52
6 8 76565866625370240 | 7 11 21 25 38 42 52 56 | 0 1 2 3 4 5 | 0 1 2 3 5 7 4 6 | 7 11 21 25 34 40 36 48
6 7 1152926177566918784 | 7 11 21 25 38 42 60 | 0 1 2 3 4 5 | 0 1 3 5 2 4 6 | 7 11 17 8 4 34 60
6 7 1143767006447744 | 7 11 21 25 38 44 50 | 0 1 2 3 4 5 | 1 3 0 2 4 5 6 | 3 9 5 17 38 44 50
6 8 73201361044375680 | 7 11 21 25 38 44 50 56 | 0 1 2 3 4 5 | 0 1 2 3 5 7 4 6 | 7 11 21 25 36 40 34 48
6 7 72075461137533056 | 7 11 21 25 38 44 56 | 0 1 2 3 4 5 | 0 1 3 6 4 2 5 | 7 11 17 24 38 4 40
6 7 288248243251316864 | 7 11 21 25 38 44 58 | 0 1 2 3 4 5 | 0 1 3 6 2 5 4 | 7 11 17 24 4 44 34
6 6 72057868951488640 | 7 11 21 25 38 56 | 0 1 2 3 4 5 | 1 3 0 2 4 5 | 3 9 5 17 38 56
6 6 1143492128540800 | 7 11 21 25 44 50 | 0 1 2 3 4 5 | 1 3 0 2 4 5 | 3 9 5 17 44 50
6 7 306279959068936320 | 7 11 21 25 45 54 58 | 0 1 2 3 4 5 | 0 1 2 4 5 6 3 | 7 11 21 9 36 50 24
6 7 2474238806144 | 7 11 21 26 28 38 41 | 0 1 2 3 4 5 | 0 2 4 1 3 5 6 | 7 1 20 10 24 38 41
6 8 20066424850560 | 7 11 21 26 28 38 41 44 | 0 1 2 3 4 5 | 0 1 2 4 7 3 6 5 | 7 11 21 24 12 2 41 36
6 9 583016378271872 | 7 11 21 26 28 38 41 44 49 | 0 1 2 3 4 5 | 0 1 2 3 7 5 8 6 4 | 7 11 21 26 12 38 33 40 16
6 10 1708916285114496 | 7 11 21 26 28 38 41 44 49 50 | 0 1 2 3 4 5 | 0 1 2 3 4 7 8 6 9 5 | 7 11 21 26 28 36 33 40 48 34
6 8 565424192227456 | 7 11 21 26 28 38 41 49 | 0 1 2 3 4 5 | 0 1 4 3 6 5 7 2 | 7 11 20 26 8 38 33 17
6 7 144115463291406464 | 7 11 21 26 28 38 57 | 0 1 2 3 4 5 | 0 2 4 1 3 5 6 | 7 1 20 10 24 38 57
6 6 2473970370688 | 7 11 21 26 38 41 | 0 1 2 3 4 5 | 1 3 0 2 4 5 | 3 10 5 16 38 41
6 7 565423923792000 | 7 11 21 26 38 41 49 | 0 1 2 3 4 5 | 0 3 2 6 4 1 5 | 7 10 21 16 38 9 33
6 7 580817086580864 | 7 11 21 26 38 44 49 | 0 1 2 3 4 5 | 1 3 0 2 4 5 6 | 3 10 5 16 38 44 49
6 8 72638411124508800 | 7 11 21 26 38 44 49 56 | 0 1 2 3 4 5 | 0 1 2 4 5 7 6 3 | 7 11 21 2 36 40 49 24
6 7 72075461171087488 | 7 11 21 26 38 44 56 | 0 1 2 3 4 5 | 0 1 2 4 5 6 3 | 7 11 21 2 36 40 24
6 6 72057868985043072 | 7 11 21 26 38 56 | 0 1 2 3 4 5 | 1 3 0 2 4 5 | 3 10 5 16 38 56
6 6 144115463022971008 | 7 11 21 26 38 57 | 0 1 2 3 4 5 | 1 3 0 2 4 5 | 3 10 5 16 38 57
6 6 580542208673920 | 7 11 21 26 44 49 | 0 1 2 3 4 5 | 1 3 0 2 4 5 | 3 10 5 16 44 49
6 7 1706442115516544 | 7 11 21 26 44 49 50 | 0 1 2 3 4 5 | 0 3 2 6 4 1 5 | 7 10 21 18 44 1 48
6 6 2269392068937856 | 7 11 21 26 44 51 | 0 1 2 3 4 5 | 1 3 0 2 4 5 | 3 10 5 16 44 51
6 7 5664683975510144 | 7 11 21 26 45 50 52 | 0 1 2 3 4 5 | 0 2 6 1 4 3 5 | 7 1 20 10 45 18 48
6 6 4612251167406164096 | 7 11 21 41 49 62 | 0 1 2 3 4 5 | 1 3 0 4 2 5 | 3 9 5 33 17 62
6 6 4613940017266428032 | 7 11 21 41 51 62 | 0 1 2 3 5 4 | 1 3 0 2 4 5 | 3 9 5 17 51 62
6 6 292736174804437120 | 7 11 21 41 52 58 | 0 1 2 3 4 5 | 0 2 4 3 5 1 | 7 1 20 41 48 10
6 6 306246973686548608 | 7 11 21 41 54 58 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 7 11 1 40 20 50
6 6 1155177702469142656 | 7 11 21 42 51 60 | 0 1 2 3 4 5 | 0 1 4 5 3 2 | 7 11 17 40 34 20
6 6 76565591713908864 | 7 11 21 42 52 56 | 0 1 2 3 4 5 | 0 2 4 1 3 5 | 7 1 20 10 32 56
6 6 148623185751836800 | 7 11 21 42 52 57 | 0 1 2 3 4 5 | 0 2 4 1 3 5 | 7 1 20 10 32 57
6 6 162133984633948288 | 7 11 21 42 54 57 | 0 1 2 3 4 5 | 0 1 4 5 3 2 | 7 11 20 40 34 17
