alpha,n,normalized_multiplier,limit,absolute_error
0.7,1,0.3754952072875289547805812344494366974296,0.249317548844043943080875314159565599949,0.1261776584434850116997059202898710974806
0.7,2,0.2973290217569874158104971163853001502148,0.249317548844043943080875314159565599949,0.04801147291294347272962180222573455026582
0.7,3,0.2708028218855946701586942392145243185414,0.249317548844043943080875314159565599949,0.02148527304155072707781892505495871859236
0.7,4,0.2595283112090869690359634606256972383308,0.249317548844043943080875314159565599949,0.01021076236504302595508814646613163838184
0.7,5,0.2543000313963563711889026996742937848887,0.249317548844043943080875314159565599949,0.004982482552312428108027385514728184939718
0.7,6,0.2517792125329602376283393107042912973917,0.249317548844043943080875314159565599949,0.002461663688916294547463996544725697442662
0.7,7,0.2505411233602657059349358699484756037507,0.249317548844043943080875314159565599949,0.001223574516221762854060555788910003801699
0.7,8,0.249927538527677265261286590991659920737,0.249317548844043943080875314159565599949,0.0006099896836333221804112768320943207880413
0.7,9,0.2496220963639955329493706235107520528252,0.249317548844043943080875314159565599949,0.0003045475199515898684953093511864528762209
0.7,10,0.2494697110311057484894490260349547955458,0.249317548844043943080875314159565599949,0.0001521621870618054085737118753891955968346
0.7,11,0.2493936020764523431417405131114730916297,0.249317548844043943080875314159565599949,0.00007605323240840006086519895190749168071852
0.7,12,0.2493555684989752805388115531376578604218,0.249317548844043943080875314159565599949,0.00003801965493133745793623897809226047282845
0.7,13,0.2493365569316920241681235077894101142022,0.249317548844043943080875314159565599949,0.00001900808764808108724819362984451425320442
0.7,14,0.2493270524529761438310002881914202378813,0.249317548844043943080875314159565599949,0.000009503608932200750124974031854637932262253
0.7,15,0.2493223005397949018112198142487720900923,0.249317548844043943080875314159565599949,0.000004751695750958730344500089206490143266062
0.7,16,0.2493199246647416142393431014390894550337,0.249317548844043943080875314159565599949,0.000002375820697671158467787279523855084685771
0.7,17,0.2493187367475984487537753236667032670732,0.249317548844043943080875314159565599949,0.000001187903554505672900009507137667124225093
0.7,18,0.2493181427941226287085835701363965605338,0.249317548844043943080875314159565599949,0.0000005939500786856277082559768309605847824402
0.7,19,0.2493178458186586460010038421628642432253,0.249317548844043943080875314159565599949,0.0000002969746147029201285280032986432762493509
0.7,20,0.2493176973312451348060643842011960602184,0.249317548844043943080875314159565599949,0.000000148487201191725189070041630460269412968
0.7,21,0.2493176230876179990395704968444380971774,0.249317548844043943080875314159565599949,0.00000007424357405595869518268487249722842349684
0.7,22,0.2493175859658243360879754932122588469921,0.249317548844043943080875314159565599949,0.00000003712178039300710017905269324704310770784
0.7,23,0.2493175674049324808418294785268188148965,0.249317548844043943080875314159565599949,0.00000001856088853776095416436725321494745032112
0.7,24,0.2493175581244877972757616560231530374274,0.249317548844043943080875314159565599949,0.000000009280443854194886341863587437478435240224
