source_report,original_id,unified_id
A,M1,M1
A,M2,M2
A,M3,M3
A,M4,M4
A,M5,M5
A,M6,M6
A,M7,M7
A,G1,G1
A,G2,G2
A,G3,G3
A,G4,G4
A,G5,G5
A,G6,G6
A,G7,G7
A,L1,L1
A,L2,L3
A,L3,L4
A,L4,L5
A,D1,D1; D2 (related variant)
A,D2,D4
A,P1,R1
A,P2,R2
A,P3,R3
B,P01,G1
B,P02,L2
B,P03,G7
B,P04,G3
B,P05,G4
B,P06,G5
B,P07,G6
B,P08,Q1
B,P09,Q2
B,P10,Q3
B,P11,T2
B,P12,T1
B,P13,T3
B,P14,T4
B,P15,K1
B,P16,K2
B,P17,K3
B,P18,K4
B,P19,N1
B,P20,N2
C,P01,T1
C,P02,T2
C,P03,T3
C,P04,T4
C,P05,C1
C,P06,C2
C,P07,C3
C,P08,Q3
C,P09,Q2
C,P10,Q1
C,P11,K1
C,P12,D1
C,P13,D2
C,P14,D3 and D4
C,P15,G1
C,P16,G3
C,P17,G4
C,P18,G5
C,P19,G6
C,P20,G7
