degree_d,H,log_x,log_abs_product,normalized_ratio,predicted_constant,difference
0,8,4.44656515581145278394261,-26.7243026224857412218114840592,-1.35162762708970773152925,-0.721347520444481703679962,-0.630280106645
0,12,7.21915387805123402161154,-56.5963187396321680032063996302,-1.08596439323177948850661,-0.721347520444481703679962,-0.364616872787
0,16,9.99174260029101525928047,-97.5586897457377197352770291445,-0.977200057450941730346298,-0.721347520444481703679962,-0.255852537006
0,20,12.7643313225307964969494,-149.611415640802396418023372602,-0.91826619197171970033627,-0.721347520444481703679962,-0.196918671527
0,24,15.5369200447705777346183,-212.754496424826198051445430003,-0.88135096787275157318457,-0.721347520444481703679962,-0.160003447428
0,28,18.3095087670103589722873,-286.987932097809124635543201347,-0.85607191555320550371009,-0.721347520444481703679962,-0.134724395109
0,32,21.0820974892501402099562,-372.311722659751176170316686635,-0.837681792886450988203621,-0.721347520444481703679962,-0.116334272442
0,36,23.8546862114899214476251,-468.725868110652352655765885866,-0.823704627439241242957358,-0.721347520444481703679962,-0.102357106995
0,40,26.627274933729702685294,-576.23036845051265409189079904,-0.812723275564698524146666,-0.721347520444481703679962,-0.0913757551202
0,44,29.399863655969483922963,-694.825223679332080478691426158,-0.803868374636095501505174,-0.721347520444481703679962,-0.0825208541916
0,48,32.1724523782092651606319,-824.510433797110631816167767219,-0.796577109617485943461454,-0.721347520444481703679962,-0.075229589173
0,52,34.9450411004490463983008,-965.285998803848308104319822223,-0.790469096345910982183185,-0.721347520444481703679962,-0.0691215759014
0,56,37.7176298226888276359698,-1117.15191869954510934314759117,-0.785278031554051899612956,-0.721347520444481703679962,-0.0639305111096
0,60,40.4902185449286088736387,-1280.10819348420103553265107406,-0.780811921593487379515019,-0.721347520444481703679962,-0.059464401149
0,64,43.2628072671683901113076,-1454.1548231578160866728302709,-0.776928860544095453119418,-0.721347520444481703679962,-0.0555813400996
0,68,46.0353959894081713489765,-1639.29180772039026276368518167,-0.773521700627931244691903,-0.721347520444481703679962,-0.0521741801834
0,72,48.8079847116479525866455,-1835.51914717192356380521580639,-0.770508026693406485239606,-0.721347520444481703679962,-0.0491605062489
0,76,51.5805734338877338243144,-2042.83684151241598979742214506,-0.7678234108222564879915,-0.721347520444481703679962,-0.0464758903778
0,80,54.3531621561275150619833,-2261.24489074186754074030419767,-0.765416759973571873196168,-0.721347520444481703679962,-0.0440692395291
0,90,61.2846339617269681561556,-2855.78531645469258975671557769,-0.760365429646214470785578,-0.721347520444481703679962,-0.0390179092017
0,100,68.216105767326421250328,-3519.64046022351216971485016985,-0.756352862439631608715237,-0.721347520444481703679962,-0.0350053419951
0,120,82.0790493785253274386726,-5055.29490192913492245628899062,-0.750381052852418103324722,-0.721347520444481703679962,-0.0290335324079
0,140,95.9419929897242336270173,-6868.20821585873579896462065998,-0.746149721440926536792432,-0.721347520444481703679962,-0.0248022009964
0,160,109.804936600923139815362,-8958.38040201231479923984517792,-0.742994790986375555747799,-0.721347520444481703679962,-0.0216472705419
0,200,137.530823823320952192051,-13970.5013909914071710909727595,-0.738604422922177139788719,-0.721347520444481703679962,-0.0172569024777
0,250,172.188182851318217662913,-21795.2337834751495820936545099,-0.735114257789265827647081,-0.721347520444481703679962,-0.0137667373448
0,300,206.845541879315483133774,-31352.8341273587552666394165638,-0.732798336471615602721212,-0.721347520444481703679962,-0.0114508160271
0,400,276.160259935310014075498,-55666.6386693255564563601815827,-0.729915577707954815771148,-0.721347520444481703679962,-0.00856805726347
0,500,345.474977991304545017221,-86911.9150168918107402532678161,-0.728192369191682759639852,-0.721347520444481703679962,-0.0068448487472
1,8,4.44656515581145278394261,-92.3599020262946737524611081225,-1.05053247493432998582767,-0.34689483016760129964493,-0.703637644767
1,12,7.21915387805123402161154,-270.47141690630397904610817268,-0.718890060680616883105543,-0.34689483016760129964493,-0.371995230513
1,16,9.99174260029101525928047,-595.796883477296803842024184379,-0.597275244191747712669926,-0.34689483016760129964493,-0.250380414024
1,20,12.7643313225307964969494,-1112.69772129510964794291199899,-0.535035985507736763914966,-0.34689483016760129964493,-0.18814115534
1,24,15.5369200447705777346183,-1865.5353499155790111514744723,-0.49740333232036752303654,-0.34689483016760129964493,-0.150508502153
1,28,18.3095087670103589722873,-2898.67118889454139327041446006,-0.472246639422279602939332,-0.34689483016760129964493,-0.125351809255
1,32,21.0820974892501402099562,-4256.46665778783329410243481806,-0.454263438467648455433162,-0.34689483016760129964493,-0.1073686083
1,36,23.8546862114899214476251,-5983.28317615129121345023840207,-0.440776501082875726797307,-0.34689483016760129964493,-0.0938816709153
1,40,26.627274933729702685294,-8123.48216354075165111652806787,-0.43029080309995748589999,-0.34689483016760129964493,-0.0833959729324
1,44,29.399863655969483922963,-10721.4250395120511069040066712,-0.421906838247190825520823,-0.34689483016760129964493,-0.0750120080796
1,48,32.1724523782092651606319,-13821.4732236210260806153770679,-0.415051355561180635378991,-0.34689483016760129964493,-0.0681565253936
1,52,34.9450411004490463983008,-17467.9881354235130720533421137,-0.409341919233047610454493,-0.34689483016760129964493,-0.0624470890654
1,56,37.7176298226888276359698,-21705.3311944753485810206046643,-0.404513700606552444370446,-0.34689483016760129964493,-0.057618870439
1,60,40.4902185449286088736387,-26577.8638203323691073198675756,-0.400377542212020977715526,-0.34689483016760129964493,-0.0534827120444
1,64,43.2628072671683901113076,-32129.9474325504111507538337033,-0.396794756566123311184216,-0.34689483016760129964493,-0.0498999263985
1,68,46.0353959894081713489765,-38405.9434506853112111252059033,-0.393661359896144329929335,-0.34689483016760129964493,-0.0467665297285
1,72,48.8079847116479525866455,-45450.2132942929057882366870312,-0.390897864470947309946954,-0.34689483016760129964493,-0.0440030343033
1,76,51.5805734338877338243144,-53307.1183829290313818909799428,-0.388442471403848091755252,-0.34689483016760129964493,-0.0415476412362
1,80,54.3531621561275150619833,-62021.0201361495244918907874939,-0.386246412577457463300276,-0.34689483016760129964493,-0.0393515824099
1,90,61.2846339617269681561556,-87846.2567425925421808571704107,-0.381652815686461366237088,-0.34689483016760129964493,-0.0347579855189
1,100,68.216105767326421250328,-119998.128555471780280167144794,-0.378019064490396813367146,-0.34689483016760129964493,-0.0311242343228
1,120,82.0790493785253274386726,-206054.366522778698947486796449,-0.372636050718199112335451,-0.34689483016760129964493,-0.0257412205506
1,140,95.9419929897242336270173,-325734.911482549842969187599429,-0.368840073935989324877622,-0.34689483016760129964493,-0.0219452437684
1,160,109.804936600923139815362,-484584.940879264774820607410706,-0.366019578997868221035727,-0.34689483016760129964493,-0.0191247488303
1,200,137.530823823320952192051,-941974.162761444251913955486039,-0.36210861503876550481422,-0.34689483016760129964493,-0.0152137848712
1,250,172.188182851318217662913,-1832812.51330176961141476557918,-0.359011212739281538655021,-0.34689483016760129964493,-0.0121163825717
1,300,206.845541879315483133774,-3159075.61622697860494105830759,-0.356961621968763884126949,-0.34689483016760129964493,-0.0100667918012
1,400,276.160259935310014075498,-7464449.6695120201487787077309,-0.354416755586954955442048,-0.34689483016760129964493,-0.00752192541935
