source_path,sha256,size_bytes,semantic_class,canonical_destination,disposition,rationale
analyticity-and-elementarity/Non_Elementarity_of_the_Fabius_Function/Non_Elementarity_of_the_Fabius_Function.pdf,db8f6c1079eaf867ac9f1e87b936966acde1d8b580928ee4fcaf607bb75d7b8e,604188,historical_render,,retire_after_canonical_publication,The synchronized source PDF is superseded by the canonical integrated render.
analyticity-and-elementarity/Non_Elementarity_of_the_Fabius_Function/Non_Elementarity_of_the_Fabius_Function.tex,8021f1f3aba753aac67a9a2b6ccbb7e2487ee1d3f60a8df3fd33551c0504c737,53841,master_source,chapters/01_analyticity_and_elementarity.tex,absorbed_into_canonical_text,Result-level content is represented in the raw source inventory and analyticity chapter; reviewed theorem-concordance disposition remains pending.
analyticity-and-elementarity/Non_Elementarity_of_the_Fabius_Function/SHA256SUMS,6b01968f66d329f443da2c7f9026022afe7f0542bcae02a7d265c348b743cc7d,220,provenance_ledger,assets/provenance/non-elementarity/SHA256SUMS.txt,retained_copy,"Historical checksum or arrival manifest retained as provenance, not as the live canonical ledger."
analyticity-and-elementarity/README.md,dac24b8bc0609910bb950f663a2d4e7be8b84301d9386188e19eaffbe26ee2bc,547,subgroup_documentation,README.md,merged_into_canonical_documentation,The subgroup catalog is replaced by the canonical package documentation.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/MANIFEST.txt,995e24c899fe3ad98c23930097e6f727f007de46adf4f1f3ae253528e41db696,396,provenance_ledger,assets/provenance/inverse-iterates/MANIFEST.txt,retained_copy,"Historical checksum or arrival manifest retained as provenance, not as the live canonical ledger."
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/README.md,4cbf44df1e05cc091d43cc53b6df71e72c861ec47a7fcb42a0d6b932304501ab,7852,package_documentation,PROVENANCE.md; assets/README.md,merged_into_canonical_documentation,"Status, corrections, and reproduction notes are consolidated into canonical documentation."
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/REPOSITORY_AUDIT.md,dd6e5c0555f5f132b4c9dd46a895156ff5930091897f98ee3b1e7a6be6511a2b,5889,claim_audit,assets/provenance/inverse-iterates/REPOSITORY_AUDIT.md,retained_copy,Source-corpus audit retained as historical provenance.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/SHA256SUMS.arrival.txt,c270903631b0942aa7f7742b84ea0117bb9f2f4cc0d0eb374889077ba37873a0,1254,provenance_ledger,assets/provenance/inverse-iterates/SHA256SUMS.arrival.txt,retained_copy,"Historical checksum or arrival manifest retained as provenance, not as the live canonical ledger."
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/SHA256SUMS.txt,cc814d96ba5b3a33e9b37f5a95a6701f5a7c62849ac9cd11c7da68b45cb33aae,1429,operational_checksum_ledger,,not_retained_stale_operational_ledger,The source and README rows are stale; the canonical live ledger replaces it.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/figures/fabius_iterates.png,133f853875a46795bcc515b4e4be81d43e45d344a7287fafe59457007f8616f2,82576,figure_raster,,external_duplicate_not_copied,Byte-identical to the corrected forward-iterate package; that package remains the canonical owner of the forward figure.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/figures/inverse_taylor_root_diagnostic.png,aae90757dc562a39165a325c28efa4e102b02fe686341c6d64f1f1dc2b6aa81c,52142,figure_raster,assets/inverse-iterates/figures/inverse_taylor_root_diagnostic.png,retained_copy,Unique inverse-facing formal-reversion diagnostic retained.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/figures/spine_comparison.png,1ab5e26247c83d7f8dbb55a6140b663854a5f79991157ce071ab88294587027b,92553,figure_raster,,external_duplicate_not_copied,Byte-identical to the corrected forward-iterate package; that package remains the canonical owner of the forward figure.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/figures/spine_remainder.png,f9492cf024a6547964cc45e3715842cfe47200befd434687fd5f610833e9bca1,58995,figure_raster,,external_duplicate_not_copied,Byte-identical to the corrected forward-iterate package; that package remains the canonical owner of the forward figure.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/figures/taylor_root_diagnostic.png,5a2b3c7cb826887902fc62ffa5a9553fed1f9480a11b67a95b419f1dd12f1e71,73336,figure_raster,,not_retained_pending_forward_reconciliation,Forward-facing payload differs from the corrected forward report and must be regenerated from the chosen forward engine before publication.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/inverse_fabius_iterates_nowhere_analytic.pdf,0f84ae8e4319225c61fa22d768f904a9e08c07d301f189dc5962e78c7a0760dd,910067,historical_render,,retire_after_canonical_publication,The retained PDF is not synchronized with the current source.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/inverse_fabius_iterates_nowhere_analytic.tex,c1e9839bee77207ea059f8604ce3773fa0c25c57511e4ca70c3f204f4336bd74,71155,master_source,chapters/02_inverse_iterates.tex,absorbed_into_canonical_text,Unique inverse-facing content is represented in the raw source inventory and iterate chapter; reviewed theorem-concordance disposition remains pending.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/numerical_experiments.py,58744382022444edf812ae7ec95ec4a5a1cc59c17fd8b3061046b7657267c369,20873,reproduction_script,assets/inverse-iterates/numerical_experiments.py,retained_copy,Unique reproducibility program retained under a semantic namespace.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/numerical_output/numerical_metadata.txt,c417ec815fa4f9677175f15abba52c77f44b7e27e1314f9086a84494843c9beb,788,run_metadata,assets/inverse-iterates/data/numerical_metadata.txt,retained_copy,Unique numerical replay metadata retained.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/numerical_output/spine_diagnostic.csv,4e9539dc4f51239e3a1989e27e8c35880968f1679a0688b68f283e71d25a4709,4820,numeric_data,assets/inverse-iterates/data/spine_diagnostic.csv,retained_copy,Unique exact or high-precision data snapshot retained.
analyticity-and-elementarity/inverse_fabius_iterates_nowhere_analytic/requirements.txt,b6aab4c314824b3fdf54426118c2ddce8bfbfd18aefc67f27767b87978c3e63f,30,dependency_specification,assets/requirements.txt,consolidated_into_dependency_specification,The dependency names are merged into one canonical requirement set.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/Inverse_Endpoint_All_Orders.pdf,4f50e4973a1ec37850ce516198e95e56b6f6cbe9d2d91bdc69fa80d123057004,856623,historical_render,,retire_after_canonical_publication,The stale render contains Type-3 plot fonts and is superseded by the canonical PDF.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/Inverse_Endpoint_All_Orders.tex,cc741563a0af99c6e8bc4b4ebb629c363f3b8605d5053db289a619740e992ccc,77842,master_source,chapters/04_endpoint_all_orders.tex,absorbed_into_canonical_text,Result-level content is represented in the raw source inventory and endpoint chapter; reviewed theorem-concordance disposition remains pending.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/SHA256SUMS-absorbed.txt,4267e97eeffcc2e9edbb27dc15b954a94ef70dfe37058b0a875febcd46488b98,402,provenance_ledger,assets/provenance/endpoint/SHA256SUMS-absorbed.txt,retained_copy,"Historical checksum or arrival manifest retained as provenance, not as the live canonical ledger."
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_all_orders_package/README.txt,2dd8ed23efe941dc6b05076f2f3566254b5b31a6c74ad1c2350267461acdf4f3,1960,package_documentation,assets/README.md,merged_into_canonical_reproduction_readme,Commands and package layout are consolidated into the asset README.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_all_orders_package/SHA256SUMS.txt,3e20c6e228fb8038489000f0d117dcf040df5dcfb885e1c25cbbc6ffe764a917,760,provenance_ledger,assets/provenance/endpoint/all-orders-SHA256SUMS.txt,retained_copy,"Historical checksum or arrival manifest retained as provenance, not as the live canonical ledger."
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_all_orders_package/inverse_fabius_asymptotics.py,7bd3b52e7b57eb20e6421184db5be17711e108054923dd4b834ec966dac11095,17255,reproduction_script,assets/endpoint/all-orders/scripts/inverse_fabius_asymptotics.py,retained_copy,Unique reproducibility program retained under a semantic namespace.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_all_orders_package/results/constants.txt,309869a26db663671a48caff64bbc3f293870e69cf80ce2a313efc09fc4549ca,828,numeric_data,assets/endpoint/all-orders/data/constants.txt,retained_copy,Unique exact or high-precision data snapshot retained.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_all_orders_package/results/endpoint_error_plot.pdf,ae5d5349703ff3701d0712e04277a542774630780bd8bd2d8d5ccce93e31373a,23901,figure_vector,assets/endpoint/all-orders/figures/endpoint_error_plot.pdf,retained_copy,Unique vector figure retained for publication use.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_all_orders_package/results/endpoint_error_plot.png,31dca7d01e3e38f13e59e8b66bc0fe0490645f4dcff37a628fceea630e45101a,152904,figure_raster,assets/endpoint/all-orders/figures/endpoint_error_plot.png,retained_copy,Unique raster figure retained for reproducible comparison.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_all_orders_package/results/endpoint_errors.csv,3e930c46f29ee128eb2186a4fc26229a90b99033319fdc0cae217c4b9a6eeb87,1075,numeric_data,assets/endpoint/all-orders/data/endpoint_errors.csv,retained_copy,Unique exact or high-precision data snapshot retained.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_all_orders_package/results/symbolic_checks.txt,2725b29107687ca5b531135329fadf5ac1300e4d1c1de8289c6271b4fb903988,819,numeric_log,assets/endpoint/all-orders/data/symbolic_checks.txt,retained_copy,Unique symbolic or numerical verification log retained.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_asymptotics_package/CORPUS_AUDIT.txt,97d4711281348c8d8c806a505691d7f2cac0a80de13dc0f9aadadc5fafcd5403,1932,claim_audit,assets/provenance/endpoint/wright-omega-CORPUS_AUDIT.txt,retained_copy,Source-corpus audit retained as historical provenance.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_asymptotics_package/README.md,4fbcfc0f99d6aa173c8b55ff474ffdd08ded6973b9e5353aac0e2e1e31589530,2531,package_documentation,assets/README.md,merged_into_canonical_reproduction_readme,Commands and package layout are consolidated into the asset README.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_asymptotics_package/SHA256SUMS.txt,a8e4cb35c6b2133417183c520d0b05085bb37ab0381c63922166d54042cdde91,1433,provenance_ledger,assets/provenance/endpoint/wright-omega-SHA256SUMS.txt,retained_copy,"Historical checksum or arrival manifest retained as provenance, not as the live canonical ledger."
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_asymptotics_package/data/carrier_comparison.png,516b0ef762b94e9190d523dd2b51a9828445b4fd7087eb0f430a84fe84f781e9,135890,figure_raster,assets/endpoint/wright-omega/figures/carrier_comparison.png,retained_copy,Unique raster figure retained for reproducible comparison.
inverse-asymptotics-and-computability/Inverse_Endpoint_All_Orders/assets/inverse_fabius_asymptotics_package/data/dyadic_inverse_comparison.csv,59f38703c8678aa0f941cbd78898a6daaa1fb05ee86e41e5ef3f9fc4e2dd8184,2087,numeric_data,assets/endpoint/wright-omega/data/dyadic_inverse_comparison.csv,retained_copy,Unique exact or high-precision data snapshot retained.
