source_key,source_package,source_file,source_line,source_label,source_kind,source_title,source_chapter,source_section_path,source_proof_present,canonical_label,canonical_status,lean_module,lean_declaration,disposition_notes
Inverse_and_Sampling_Frontiers:p1:thm:inverse-transfer,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,438,p1:thm:inverse-transfer,theorem,Uniform inverse-transfer expansion,,Inverse Frontiers for the Fabius--Rvachev System / Bell-polynomial transfer from forward splines to quantiles / A general inverse perturbation theorem,yes,is:p1:thm:inverse-transfer,human-proved frontier result,,,"Retained at is:p1:thm:inverse-transfer with a complete canonical human proof of Uniform inverse-transfer expansion. Lean has generic formal reversion ingredients, but no declaration transfers the stated uniform analytic remainder to finite-prefix quantiles."
Inverse_and_Sampling_Frontiers:p1:cor:c1-c2,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,494,p1:cor:c1-c2,corollary,Explicit coefficients through $16^{-n}$,,Inverse Frontiers for the Fabius--Rvachev System / Bell-polynomial transfer from forward splines to quantiles / The first two quantile corrections,yes,is:p1:cor:c1-c2,human-proved frontier result,,,Retained at is:p1:cor:c1-c2 with a complete canonical human proof of Explicit coefficients through $16^{-n}$. The coefficient algebra exists only in generic pieces; the displayed quantile coefficients are not an exact Lean corollary.
Inverse_and_Sampling_Frontiers:p1:lem:filter-moments,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,553,p1:lem:filter-moments,lemma,All geometric moments of the Richardson filter,,Inverse Frontiers for the Fabius--Rvachev System / Bell-polynomial transfer from forward splines to quantiles / Gaussian \texorpdfstring{$q$}{q}-binomial Richardson filters for quantiles,yes,is:p1:lem:filter-moments,Lean-proved,FabiusFunction.GeometricLagrangeQMoments,Fabius.quarterGeometricLagrangeQMoment_eq_residual_qBinomial,Retained at is:p1:lem:filter-moments. The exact finite family is Fabius.geometricLagrangeQMoment_zero for the normalized zeroth moment; Fabius.quarterGeometricLagrangeQMoment_eq_zero for cancellation through degree p; and Fabius.quarterGeometricLagrangeQMoment_eq_residual_qBinomial for every residual moment including the first survivor.
Inverse_and_Sampling_Frontiers:p1:thm:quantile-richardson,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,582,p1:thm:quantile-richardson,theorem,$q$-binomial acceleration of finite-prefix quantiles,,Inverse Frontiers for the Fabius--Rvachev System / Bell-polynomial transfer from forward splines to quantiles / Gaussian \texorpdfstring{$q$}{q}-binomial Richardson filters for quantiles,yes,is:p1:thm:quantile-richardson,human-proved frontier result,,,"Retained at is:p1:thm:quantile-richardson with a complete canonical human proof of $q$-binomial acceleration of finite-prefix quantiles. The geometric q-filter moments are Lean-proved, but the analytic inverse-transfer premise needed for the quantile error is not."
Inverse_and_Sampling_Frontiers:p1:thm:exact-local-polynomial,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,642,p1:thm:exact-local-polynomial,theorem,Exact reciprocal-sinc local polynomial,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / The plateau mechanism,yes,is:p1:thm:exact-local-polynomial,human-proved frontier result,,,"Retained at is:p1:thm:exact-local-polynomial with a complete canonical human proof of Exact reciprocal-sinc local polynomial. Lean assembles the quarter cell and plateau ingredients, not the full arbitrary-level local polynomial."
Inverse_and_Sampling_Frontiers:p1:thm:algebraic-germ,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,702,p1:thm:algebraic-germ,theorem,Exact algebraic quantile germ,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / The algebraic inverse branch,yes,is:p1:thm:algebraic-germ,human-proved frontier result,,,"Retained at is:p1:thm:algebraic-germ with a complete canonical human proof of Exact algebraic quantile germ. Lean has generic formal reversion and the analytic quarter branch, not the all-level actual finite-prefix germ theorem."
Inverse_and_Sampling_Frontiers:p1:thm:quarter-exact,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,799,p1:thm:quarter-exact,theorem,Exact quarter-quantile formula,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / The quarter anchor: an exact square root,yes,is:p1:thm:quarter-exact,Lean-proved,FabiusFunction.QuarterQuantile,Fabius.quarterQuantile_eq,Retained at is:p1:thm:quarter-exact. This gives the same radical finite-prefix quarter quantile after unfolding notation. Exact source counterpart: FabiusFunction.QuarterQuantile.Fabius.quarterQuantile_eq.
Inverse_and_Sampling_Frontiers:p1:cor:Catalan-Richardson,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,858,p1:cor:Catalan-Richardson,corollary,Closed leading constant at every Richardson order,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / Catalan--Gaussian-binomial Richardson constants,yes,is:p1:cor:Catalan-Richardson,human-proved frontier result,,,"Retained at is:p1:cor:Catalan-Richardson with a complete canonical human proof of Closed leading constant at every Richardson order. QuarterCatalanRichardson proves the formal surviving coefficient, not convergence or the stated actual-quantile asymptotic."
Inverse_and_Sampling_Frontiers:p1:thm:quarter-positive-bounds,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,908,p1:thm:quarter-positive-bounds,theorem,Positive accelerated errors and sharp finite-depth bounds,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / Exact sign and two-sided bounds for every accelerated quarter error,yes,is:p1:thm:quarter-positive-bounds,human-proved frontier result,,,Retained at is:p1:thm:quarter-positive-bounds with a complete canonical human proof of Positive accelerated errors and sharp finite-depth bounds. No exact Lean theorem supplies the all-depth positivity and sharp accelerated-error bounds.
Inverse_and_Sampling_Frontiers:p1:prop:Catalan-large-order,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,964,p1:prop:Catalan-large-order,proposition,Large-order Catalan coefficients,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / Exact sign and two-sided bounds for every accelerated quarter error,yes,is:p1:prop:Catalan-large-order,human-proved frontier result,,,"Retained at is:p1:prop:Catalan-large-order with a complete canonical human proof of Large-order Catalan coefficients. The Catalan coefficients are available, but their large-order asymptotic is not formalized."
