path,change_kind,reconciliation_sha256,reconciliation_bytes,disposition,destination,note
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/README.md,modified,618afcc99da1b785a30c0de41add92291a7a83b71f6765c5df6c26b05aa40080,3058,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/README.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/fabius_ruffa_phase_calculus/CORPUS_AUDIT.md,modified,a0595048ef23cc536316c4ffbbd1e85c7bc2770979094881038cf8e845fd62f5,3668,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report-3/ARRIVAL_MANIFEST.txt,added,75b4f8933a1e94562ecb119f9966cdf5c39e6c9390489f2596d4ab4de10f54ad,1568,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report-3/INTAKE_AUDIT.md,added,a64f21f68ca1436a61a1f5d486c3bbc550177dff49732657587ec34ef2c7d2e6,2527,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report-3/PDF_VALIDATION.txt,added,a8bb394af4969bce8b2b0d2cb6ad0e80bc5fcb014cff00ac1e3fd0eb0fc741b4,693,retired-artifact-validation,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/VALIDATION.md,Validation of a retired source artifact is superseded by the canonical validation record; the original remains recoverable from Git.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report-3/README.md,added,5997d38df995998c81ce67d38c02b2b216ee7344809680202f86625225882617,3650,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/README.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report-3/SHA256SUMS.arrival.txt,added,0d56124e8fd39cdbcef7e70307716f0124963166aaf40ebe4f45942127fd6144,1993,retired-historical-ledger,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,The package-local historical ledger is superseded by canonical provenance and the exhaustive live package manifest.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report-3/SHA256SUMS.txt,modified,4fa799fd69c7127460357617cc1277ddd69c1ba1d2c92aaee8a1280a9ff669a1,2462,retired-historical-ledger,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,The package-local historical ledger is superseded by canonical provenance and the exhaustive live package manifest.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report/ARRIVAL_MANIFEST.txt,added,6566bfbd49774e4a7a33792ccf59a64c4ecedb838a8403fdb086a72af9d448ef,552,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report/PDF_VALIDATION.txt,added,3b6fc29b274abac6547b9aaec9a82a11ac87b506d78b351273731b203e8b7faf,2669,retired-artifact-validation,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/VALIDATION.md,Validation of a retired source artifact is superseded by the canonical validation record; the original remains recoverable from Git.
