N,area_N,area_error,perimeter_N,perimeter_error
2,1.1722432763377633,4.172458379125926,4.5696000000000003,3.9304000000000014
3,2.2920050459545966,3.0526966095090926,5.8273280000000014,2.6726720000000004
4,3.0671122533998654,2.2775894020638239,6.6825830400000008,1.817416960000001
5,3.8194775184154994,1.5252241370481898,7.2641564672000012,1.2358435328000006
6,4.2425352434421448,1.1021664120215444,7.6596263976960008,0.84037360230400093
7,4.5832791716752102,0.7614224837884791,7.9285459504332811,0.57145404956672063
8,4.8471154813326969,0.49758617413099238,8.1114112462946313,0.38858875370537049
9,4.983841678908969,0.36085997655472024,8.2357596474803501,0.26424035251965172
10,5.1034645817298712,0.24123707373381809,8.3203165602866385,0.17968343971336331
11,5.1797638046428514,0.16493785082083789,8.3778152609949146,0.1221847390050872
12,5.2307819267000522,0.1139197287636371,8.4169143774765427,0.08308562252345908
13,5.2718322858374354,0.072869369626253899,8.4435017766840499,0.05649822331595189
14,5.292141617953436,0.052560037510253288,8.4615812081451534,0.038418791854848422
15,5.3089516590790291,0.035749996384660143,8.4738752215387052,0.026124778461296572
16,5.3209948332252335,0.023706822238455771,8.4822351506463214,0.01776484935368039
17,5.3278896577913946,0.016811997672294687,8.4879199024394989,0.012080097560502878
18,5.333705892663188,0.010995762800501296,8.4917855336588612,0.0082144663411405361
19,5.3370773394908744,0.0076243159728148768,8.4944141628880256,0.005585837111976133
20,5.3395153954162842,0.005186260047405078,8.4962016307638581,0.0037983692361436283
21,5.3413913646278601,0.0033102908358291216,8.4974171089194233,0.0025828910805785199
22,5.3422963697135399,0.0024052857501493108,8.4982436340652079,0.0017563659347938909
23,5.343079511496466,0.0016221439672232663,8.4988056711643409,0.0011943288356608406
24,5.3436039889316991,0.0010976665319901713,8.4991878563917549,0.0008121436082468847
25,5.3439351172735305,0.00076653819015870539,8.4994477423463923,0.00055225765360944479
26,5.344206972536746,0.00049468292694321292,8.4996244647955486,0.00037553520445321453
27,5.344350224522195,0.00035143094149425735,8.4997446360609725,0.0002553639390292517
28,5.3444627230705395,0.00023893239314976,8.4998263525214632,0.00017364747853854112
29,5.344545653453773,0.00015600200991627844,8.4998819197145963,0.00011808028540549742
30,5.3445901566557446,0.0001114988079446988,8.4999197054059259,8.0294594075880354e-05
31,5.3446280621634825,7.3593300206731271e-05,8.4999453996760295,5.4600323972309184e-05
32,5.3446512824214896,5.037304219968064e-05,8.4999628717797009,3.7128220300886028e-05
33,5.3446672260208903,3.4429442798966647e-05,8.4999747528101981,2.5247189803678793e-05
34,5.3446797966137112,2.1858849978073636e-05,8.4999828319109341,1.7168089067709502e-05
35,5.3446857636099852,1.5891853704097514e-05,8.4999883256994373,1.1674300564479267e-05
36,5.3446908503599122,1.0805103777045133e-05,8.4999920614756181,7.938524383632739e-06
37,5.3446944209625489,7.23450114037405e-06,8.4999946018034205,5.3981965812965882e-06
38,5.344696547788482,5.1076752072276577e-06,8.4999963292263274,3.6707736743579744e-06
39,5.3446983291405559,3.3263231333791055e-06,8.4999975038739031,2.4961260987055311e-06
40,5.3446993260701774,2.3293935118573472e-06,8.4999983026342552,1.6973657466223813e-06
