n,s,t,root,barrier_margin,floor_ratio
3,3,3,25,-501,0
4,2,4,5,599,24
5,5,4,95,-8401,0
6,5,6,95,6599,1
7,7,7,385,-70101,0
8,5,8,95,381599,43
9,9,9,1535,-403101,0
10,9,9,1535,-403101,0
11,11,11,6145,11067099,1
12,10,12,1025,243089999,232
13,13,13,24575,616772499,2
14,13,14,24575,5499584999,10
15,15,14,98305,-3560357401,0
16,12,16,4095,152571121599,9099
17,17,17,393215,608321416899,4
18,17,18,393215,3660079229399,24
19,19,19,1572865,16599582019899,7
20,18,19,262145,19004766327099,277
21,21,21,6291455,437254752186099,12
22,21,22,6291455,2344603384998599,60
23,23,23,25165825,11287610207147499,18
24,21,24,6291455,59565062369373599,1505
