M,N_plus(M)=2M-s_2(M),N_plus-2M
343,680,-6
344,684,-4
345,685,-5
346,687,-5
347,688,-6
348,691,-5
349,692,-6
350,694,-6
351,695,-7
352,701,-3
353,702,-4
354,704,-4
355,705,-5
356,708,-4
357,709,-5
358,711,-5
359,712,-6
360,716,-4
361,717,-5
362,719,-5
363,720,-6
364,723,-5
365,724,-6
366,726,-6
367,727,-7
368,732,-4
369,733,-5
370,735,-5
371,736,-6
372,739,-5
373,740,-6
374,742,-6
375,743,-7
376,747,-5
377,748,-6
378,750,-6
379,751,-7
380,754,-6
381,755,-7
382,757,-7
383,758,-8
384,766,-2
385,767,-3
386,769,-3
387,770,-4
388,773,-3
389,774,-4
390,776,-4
391,777,-5
392,781,-3
393,782,-4
394,784,-4
395,785,-5
396,788,-4
397,789,-5
398,791,-5
399,792,-6
400,797,-3
401,798,-4
402,800,-4
403,801,-5
404,804,-4
405,805,-5
406,807,-5
407,808,-6
408,812,-4
409,813,-5
410,815,-5
411,816,-6
412,819,-5
413,820,-6
414,822,-6
415,823,-7
416,829,-3
417,830,-4
418,832,-4
419,833,-5
420,836,-4
421,837,-5
422,839,-5
423,840,-6
424,844,-4
425,845,-5
426,847,-5
427,848,-6
428,851,-5
429,852,-6
430,854,-6
431,855,-7
432,860,-4
433,861,-5
434,863,-5
435,864,-6
436,867,-5
437,868,-6
438,870,-6
439,871,-7
440,875,-5
441,876,-6
442,878,-6
443,879,-7
444,882,-6
445,883,-7
446,885,-7
447,886,-8
448,893,-3
449,894,-4
450,896,-4
451,897,-5
452,900,-4
453,901,-5
454,903,-5
455,904,-6
456,908,-4
457,909,-5
458,911,-5
459,912,-6
460,915,-5
461,916,-6
462,918,-6
463,919,-7
464,924,-4
465,925,-5
466,927,-5
467,928,-6
468,931,-5
469,932,-6
470,934,-6
471,935,-7
472,939,-5
473,940,-6
474,942,-6
475,943,-7
476,946,-6
477,947,-7
478,949,-7
479,950,-8
480,956,-4
481,957,-5
482,959,-5
483,960,-6
484,963,-5
485,964,-6
486,966,-6
487,967,-7
488,971,-5
489,972,-6
490,974,-6
491,975,-7
492,978,-6
493,979,-7
494,981,-7
495,982,-8
496,987,-5
497,988,-6
498,990,-6
499,991,-7
500,994,-6
501,995,-7
502,997,-7
503,998,-8
504,1002,-6
505,1003,-7
506,1005,-7
507,1006,-8
508,1009,-7
509,1010,-8
510,1012,-8
511,1013,-9
512,1023,-1
513,1024,-2
514,1026,-2
515,1027,-3
516,1030,-2
517,1031,-3
518,1033,-3
519,1034,-4
520,1038,-2
521,1039,-3
522,1041,-3
523,1042,-4
524,1045,-3
525,1046,-4
526,1048,-4
527,1049,-5
528,1054,-2
529,1055,-3
530,1057,-3
531,1058,-4
532,1061,-3
533,1062,-4
534,1064,-4
535,1065,-5
536,1069,-3
537,1070,-4
538,1072,-4
539,1073,-5
540,1076,-4
541,1077,-5
542,1079,-5
543,1080,-6
544,1086,-2
545,1087,-3
546,1089,-3
547,1090,-4
548,1093,-3
549,1094,-4
550,1096,-4
551,1097,-5
552,1101,-3
553,1102,-4
554,1104,-4
555,1105,-5
556,1108,-4
557,1109,-5
558,1111,-5
559,1112,-6
560,1117,-3
561,1118,-4
562,1120,-4
563,1121,-5
564,1124,-4
565,1125,-5
566,1127,-5
567,1128,-6
568,1132,-4
569,1133,-5
570,1135,-5
571,1136,-6
572,1139,-5
573,1140,-6
574,1142,-6
575,1143,-7
576,1150,-2
577,1151,-3
578,1153,-3
579,1154,-4
580,1157,-3
581,1158,-4
582,1160,-4
583,1161,-5
584,1165,-3
585,1166,-4
586,1168,-4
587,1169,-5
588,1172,-4
589,1173,-5
590,1175,-5
591,1176,-6
592,1181,-3
593,1182,-4
594,1184,-4
595,1185,-5
596,1188,-4
597,1189,-5
598,1191,-5
599,1192,-6
600,1196,-4
601,1197,-5
602,1199,-5
603,1200,-6
604,1203,-5
605,1204,-6
606,1206,-6
607,1207,-7
608,1213,-3
609,1214,-4
610,1216,-4
611,1217,-5
612,1220,-4
613,1221,-5
614,1223,-5
615,1224,-6
616,1228,-4
617,1229,-5
618,1231,-5
619,1232,-6
620,1235,-5
621,1236,-6
622,1238,-6
623,1239,-7
624,1244,-4
625,1245,-5
626,1247,-5
627,1248,-6
628,1251,-5
629,1252,-6
630,1254,-6
631,1255,-7
632,1259,-5
633,1260,-6
634,1262,-6
635,1263,-7
636,1266,-6
637,1267,-7
638,1269,-7
639,1270,-8
640,1278,-2
641,1279,-3
642,1281,-3
643,1282,-4
644,1285,-3
645,1286,-4
646,1288,-4
647,1289,-5
648,1293,-3
649,1294,-4
650,1296,-4
651,1297,-5
652,1300,-4
653,1301,-5
654,1303,-5
655,1304,-6
656,1309,-3
657,1310,-4
658,1312,-4
659,1313,-5
660,1316,-4
661,1317,-5
662,1319,-5
663,1320,-6
664,1324,-4
665,1325,-5
666,1327,-5
667,1328,-6
668,1331,-5
669,1332,-6
670,1334,-6
671,1335,-7
672,1341,-3
673,1342,-4
674,1344,-4
675,1345,-5
676,1348,-4
677,1349,-5
678,1351,-5
679,1352,-6
680,1356,-4
681,1357,-5
682,1359,-5
683,1360,-6
684,1363,-5
685,1364,-6
686,1366,-6
687,1367,-7
688,1372,-4
689,1373,-5
690,1375,-5
691,1376,-6
692,1379,-5
693,1380,-6
694,1382,-6
695,1383,-7
696,1387,-5
697,1388,-6
698,1390,-6
699,1391,-7
700,1394,-6
701,1395,-7
702,1397,-7
703,1398,-8
704,1405,-3
705,1406,-4
706,1408,-4
707,1409,-5
708,1412,-4
709,1413,-5
710,1415,-5
711,1416,-6
712,1420,-4
713,1421,-5
714,1423,-5
715,1424,-6
716,1427,-5
717,1428,-6
718,1430,-6
719,1431,-7
720,1436,-4
721,1437,-5
722,1439,-5
723,1440,-6
724,1443,-5
725,1444,-6
726,1446,-6
727,1447,-7
728,1451,-5
729,1452,-6
730,1454,-6
731,1455,-7
732,1458,-6
733,1459,-7
734,1461,-7
735,1462,-8
736,1468,-4
737,1469,-5
738,1471,-5
739,1472,-6
740,1475,-5
741,1476,-6
742,1478,-6
743,1479,-7
744,1483,-5
745,1484,-6
746,1486,-6
747,1487,-7
748,1490,-6
749,1491,-7
750,1493,-7
751,1494,-8
752,1499,-5
753,1500,-6
754,1502,-6
755,1503,-7
756,1506,-6
757,1507,-7
758,1509,-7
759,1510,-8
760,1514,-6
761,1515,-7
762,1517,-7
763,1518,-8
764,1521,-7
765,1522,-8
766,1524,-8
767,1525,-9
768,1534,-2
769,1535,-3
770,1537,-3
771,1538,-4
772,1541,-3
773,1542,-4
774,1544,-4
775,1545,-5
776,1549,-3
777,1550,-4
778,1552,-4
779,1553,-5
780,1556,-4
781,1557,-5
782,1559,-5
783,1560,-6
784,1565,-3
785,1566,-4
786,1568,-4
787,1569,-5
788,1572,-4
789,1573,-5
790,1575,-5
791,1576,-6
792,1580,-4
793,1581,-5
794,1583,-5
795,1584,-6
796,1587,-5
797,1588,-6
798,1590,-6
799,1591,-7
800,1597,-3
801,1598,-4
802,1600,-4
803,1601,-5
804,1604,-4
805,1605,-5
806,1607,-5
807,1608,-6
808,1612,-4
809,1613,-5
810,1615,-5
811,1616,-6
812,1619,-5
813,1620,-6
814,1622,-6
815,1623,-7
816,1628,-4
817,1629,-5
818,1631,-5
819,1632,-6
820,1635,-5
821,1636,-6
822,1638,-6
823,1639,-7
824,1643,-5
825,1644,-6
826,1646,-6
827,1647,-7
828,1650,-6
829,1651,-7
830,1653,-7
831,1654,-8
832,1661,-3
833,1662,-4
834,1664,-4
835,1665,-5
836,1668,-4
837,1669,-5
838,1671,-5
839,1672,-6
840,1676,-4
841,1677,-5
842,1679,-5
843,1680,-6
844,1683,-5
845,1684,-6
846,1686,-6
847,1687,-7
848,1692,-4
849,1693,-5
850,1695,-5
851,1696,-6
852,1699,-5
853,1700,-6
854,1702,-6
855,1703,-7
856,1707,-5
857,1708,-6
858,1710,-6
859,1711,-7
860,1714,-6
861,1715,-7
862,1717,-7
863,1718,-8
864,1724,-4
865,1725,-5
866,1727,-5
867,1728,-6
868,1731,-5
869,1732,-6
870,1734,-6
871,1735,-7
872,1739,-5
873,1740,-6
874,1742,-6
875,1743,-7
876,1746,-6
877,1747,-7
878,1749,-7
879,1750,-8
880,1755,-5
881,1756,-6
882,1758,-6
883,1759,-7
884,1762,-6
885,1763,-7
886,1765,-7
887,1766,-8
888,1770,-6
889,1771,-7
890,1773,-7
891,1774,-8
892,1777,-7
893,1778,-8
894,1780,-8
895,1781,-9
896,1789,-3
897,1790,-4
898,1792,-4
899,1793,-5
900,1796,-4
901,1797,-5
902,1799,-5
903,1800,-6
904,1804,-4
905,1805,-5
906,1807,-5
907,1808,-6
908,1811,-5
909,1812,-6
910,1814,-6
911,1815,-7
912,1820,-4
913,1821,-5
914,1823,-5
915,1824,-6
916,1827,-5
917,1828,-6
918,1830,-6
919,1831,-7
920,1835,-5
921,1836,-6
922,1838,-6
923,1839,-7
924,1842,-6
925,1843,-7
926,1845,-7
927,1846,-8
928,1852,-4
929,1853,-5
930,1855,-5
931,1856,-6
932,1859,-5
933,1860,-6
934,1862,-6
935,1863,-7
936,1867,-5
937,1868,-6
938,1870,-6
939,1871,-7
940,1874,-6
941,1875,-7
942,1877,-7
943,1878,-8
944,1883,-5
945,1884,-6
946,1886,-6
947,1887,-7
948,1890,-6
949,1891,-7
950,1893,-7
951,1894,-8
952,1898,-6
953,1899,-7
954,1901,-7
955,1902,-8
956,1905,-7
957,1906,-8
958,1908,-8
959,1909,-9
960,1916,-4
961,1917,-5
962,1919,-5
963,1920,-6
964,1923,-5
965,1924,-6
966,1926,-6
967,1927,-7
968,1931,-5
969,1932,-6
970,1934,-6
971,1935,-7
972,1938,-6
973,1939,-7
974,1941,-7
975,1942,-8
976,1947,-5
977,1948,-6
978,1950,-6
979,1951,-7
980,1954,-6
981,1955,-7
982,1957,-7
983,1958,-8
984,1962,-6
985,1963,-7
986,1965,-7
987,1966,-8
988,1969,-7
989,1970,-8
990,1972,-8
991,1973,-9
992,1979,-5
993,1980,-6
994,1982,-6
995,1983,-7
996,1986,-6
997,1987,-7
998,1989,-7
999,1990,-8
1000,1994,-6
1001,1995,-7
1002,1997,-7
1003,1998,-8
1004,2001,-7
1005,2002,-8
1006,2004,-8
1007,2005,-9
1008,2010,-6
1009,2011,-7
1010,2013,-7
1011,2014,-8
1012,2017,-7
1013,2018,-8
1014,2020,-8
1015,2021,-9
1016,2025,-7
1017,2026,-8
1018,2028,-8
1019,2029,-9
1020,2032,-8
1021,2033,-9
1022,2035,-9
1023,2036,-10
1024,2047,-1
1025,2048,-2
1026,2050,-2
1027,2051,-3
1028,2054,-2
1029,2055,-3
1030,2057,-3
1031,2058,-4
1032,2062,-2
1033,2063,-3
1034,2065,-3
1035,2066,-4
1036,2069,-3
1037,2070,-4
1038,2072,-4
1039,2073,-5
1040,2078,-2
1041,2079,-3
1042,2081,-3
1043,2082,-4
1044,2085,-3
1045,2086,-4
1046,2088,-4
1047,2089,-5
1048,2093,-3
1049,2094,-4
1050,2096,-4
1051,2097,-5
1052,2100,-4
1053,2101,-5
1054,2103,-5
1055,2104,-6
1056,2110,-2
1057,2111,-3
1058,2113,-3
1059,2114,-4
1060,2117,-3
1061,2118,-4
1062,2120,-4
1063,2121,-5
1064,2125,-3
1065,2126,-4
1066,2128,-4
1067,2129,-5
1068,2132,-4
1069,2133,-5
1070,2135,-5
1071,2136,-6
1072,2141,-3
1073,2142,-4
1074,2144,-4
1075,2145,-5
1076,2148,-4
1077,2149,-5
1078,2151,-5
1079,2152,-6
1080,2156,-4
1081,2157,-5
1082,2159,-5
1083,2160,-6
1084,2163,-5
1085,2164,-6
1086,2166,-6
1087,2167,-7
1088,2174,-2
1089,2175,-3
1090,2177,-3
1091,2178,-4
1092,2181,-3
1093,2182,-4
1094,2184,-4
1095,2185,-5
1096,2189,-3
1097,2190,-4
1098,2192,-4
1099,2193,-5
1100,2196,-4
1101,2197,-5
1102,2199,-5
1103,2200,-6
1104,2205,-3
1105,2206,-4
1106,2208,-4
1107,2209,-5
1108,2212,-4
1109,2213,-5
1110,2215,-5
1111,2216,-6
1112,2220,-4
1113,2221,-5
1114,2223,-5
1115,2224,-6
1116,2227,-5
1117,2228,-6
1118,2230,-6
1119,2231,-7
1120,2237,-3
1121,2238,-4
1122,2240,-4
1123,2241,-5
1124,2244,-4
1125,2245,-5
1126,2247,-5
1127,2248,-6
1128,2252,-4
1129,2253,-5
1130,2255,-5
1131,2256,-6
1132,2259,-5
1133,2260,-6
1134,2262,-6
1135,2263,-7
1136,2268,-4
1137,2269,-5
1138,2271,-5
1139,2272,-6
1140,2275,-5
1141,2276,-6
1142,2278,-6
1143,2279,-7
1144,2283,-5
1145,2284,-6
1146,2286,-6
1147,2287,-7
1148,2290,-6
1149,2291,-7
1150,2293,-7
1151,2294,-8
1152,2302,-2
1153,2303,-3
1154,2305,-3
1155,2306,-4
1156,2309,-3
1157,2310,-4
1158,2312,-4
1159,2313,-5
1160,2317,-3
1161,2318,-4
1162,2320,-4
1163,2321,-5
1164,2324,-4
1165,2325,-5
1166,2327,-5
1167,2328,-6
1168,2333,-3
1169,2334,-4
1170,2336,-4
1171,2337,-5
1172,2340,-4
1173,2341,-5
1174,2343,-5
1175,2344,-6
1176,2348,-4
1177,2349,-5
1178,2351,-5
1179,2352,-6
1180,2355,-5
1181,2356,-6
1182,2358,-6
1183,2359,-7
1184,2365,-3
1185,2366,-4
1186,2368,-4
1187,2369,-5
1188,2372,-4
1189,2373,-5
1190,2375,-5
1191,2376,-6
1192,2380,-4
1193,2381,-5
1194,2383,-5
1195,2384,-6
1196,2387,-5
1197,2388,-6
1198,2390,-6
1199,2391,-7
1200,2396,-4
1201,2397,-5
1202,2399,-5
1203,2400,-6
1204,2403,-5
1205,2404,-6
1206,2406,-6
1207,2407,-7
1208,2411,-5
1209,2412,-6
1210,2414,-6
1211,2415,-7
1212,2418,-6
1213,2419,-7
1214,2421,-7
1215,2422,-8
1216,2429,-3
1217,2430,-4
1218,2432,-4
1219,2433,-5
1220,2436,-4
1221,2437,-5
1222,2439,-5
1223,2440,-6
1224,2444,-4
1225,2445,-5
1226,2447,-5
1227,2448,-6
1228,2451,-5
1229,2452,-6
1230,2454,-6
1231,2455,-7
1232,2460,-4
1233,2461,-5
1234,2463,-5
1235,2464,-6
1236,2467,-5
1237,2468,-6
1238,2470,-6
1239,2471,-7
1240,2475,-5
1241,2476,-6
1242,2478,-6
1243,2479,-7
1244,2482,-6
1245,2483,-7
1246,2485,-7
1247,2486,-8
1248,2492,-4
1249,2493,-5
1250,2495,-5
1251,2496,-6
1252,2499,-5
1253,2500,-6
1254,2502,-6
1255,2503,-7
1256,2507,-5
1257,2508,-6
1258,2510,-6
1259,2511,-7
1260,2514,-6
1261,2515,-7
1262,2517,-7
1263,2518,-8
1264,2523,-5
1265,2524,-6
1266,2526,-6
1267,2527,-7
1268,2530,-6
1269,2531,-7
1270,2533,-7
1271,2534,-8
1272,2538,-6
1273,2539,-7
1274,2541,-7
1275,2542,-8
1276,2545,-7
1277,2546,-8
1278,2548,-8
1279,2549,-9
1280,2558,-2
1281,2559,-3
1282,2561,-3
1283,2562,-4
1284,2565,-3
1285,2566,-4
1286,2568,-4
1287,2569,-5
1288,2573,-3
1289,2574,-4
1290,2576,-4
1291,2577,-5
1292,2580,-4
1293,2581,-5
1294,2583,-5
1295,2584,-6
1296,2589,-3
1297,2590,-4
1298,2592,-4
1299,2593,-5
1300,2596,-4
1301,2597,-5
1302,2599,-5
1303,2600,-6
1304,2604,-4
1305,2605,-5
1306,2607,-5
1307,2608,-6
1308,2611,-5
1309,2612,-6
1310,2614,-6
1311,2615,-7
1312,2621,-3
1313,2622,-4
1314,2624,-4
1315,2625,-5
1316,2628,-4
1317,2629,-5
1318,2631,-5
1319,2632,-6
1320,2636,-4
1321,2637,-5
1322,2639,-5
1323,2640,-6
1324,2643,-5
1325,2644,-6
1326,2646,-6
1327,2647,-7
1328,2652,-4
1329,2653,-5
1330,2655,-5
1331,2656,-6
1332,2659,-5
1333,2660,-6
1334,2662,-6
1335,2663,-7
1336,2667,-5
1337,2668,-6
1338,2670,-6
1339,2671,-7
1340,2674,-6
1341,2675,-7
1342,2677,-7
1343,2678,-8
1344,2685,-3
1345,2686,-4
1346,2688,-4
1347,2689,-5
1348,2692,-4
1349,2693,-5
1350,2695,-5
1351,2696,-6
1352,2700,-4
1353,2701,-5
1354,2703,-5
1355,2704,-6
1356,2707,-5
1357,2708,-6
1358,2710,-6
1359,2711,-7
1360,2716,-4
1361,2717,-5
1362,2719,-5
1363,2720,-6
1364,2723,-5
1365,2724,-6
1366,2726,-6
1367,2727,-7
1368,2731,-5
1369,2732,-6
1370,2734,-6
1371,2735,-7
1372,2738,-6
1373,2739,-7
1374,2741,-7
1375,2742,-8
1376,2748,-4
1377,2749,-5
1378,2751,-5
1379,2752,-6
1380,2755,-5
1381,2756,-6
1382,2758,-6
1383,2759,-7
1384,2763,-5
1385,2764,-6
1386,2766,-6
1387,2767,-7
1388,2770,-6
1389,2771,-7
1390,2773,-7
1391,2774,-8
1392,2779,-5
1393,2780,-6
1394,2782,-6
1395,2783,-7
1396,2786,-6
1397,2787,-7
1398,2789,-7
1399,2790,-8
1400,2794,-6
1401,2795,-7
1402,2797,-7
1403,2798,-8
1404,2801,-7
1405,2802,-8
1406,2804,-8
1407,2805,-9
1408,2813,-3
1409,2814,-4
1410,2816,-4
1411,2817,-5
1412,2820,-4
1413,2821,-5
1414,2823,-5
1415,2824,-6
1416,2828,-4
1417,2829,-5
1418,2831,-5
1419,2832,-6
1420,2835,-5
1421,2836,-6
1422,2838,-6
1423,2839,-7
1424,2844,-4
1425,2845,-5
1426,2847,-5
1427,2848,-6
1428,2851,-5
1429,2852,-6
1430,2854,-6
1431,2855,-7
1432,2859,-5
1433,2860,-6
1434,2862,-6
1435,2863,-7
1436,2866,-6
1437,2867,-7
1438,2869,-7
1439,2870,-8
1440,2876,-4
1441,2877,-5
1442,2879,-5
1443,2880,-6
1444,2883,-5
1445,2884,-6
1446,2886,-6
1447,2887,-7
1448,2891,-5
1449,2892,-6
1450,2894,-6
1451,2895,-7
1452,2898,-6
1453,2899,-7
1454,2901,-7
1455,2902,-8
1456,2907,-5
1457,2908,-6
1458,2910,-6
1459,2911,-7
1460,2914,-6
1461,2915,-7
1462,2917,-7
1463,2918,-8
1464,2922,-6
1465,2923,-7
1466,2925,-7
1467,2926,-8
1468,2929,-7
1469,2930,-8
1470,2932,-8
1471,2933,-9
1472,2940,-4
1473,2941,-5
1474,2943,-5
1475,2944,-6
1476,2947,-5
1477,2948,-6
1478,2950,-6
1479,2951,-7
1480,2955,-5
1481,2956,-6
1482,2958,-6
1483,2959,-7
1484,2962,-6
1485,2963,-7
1486,2965,-7
1487,2966,-8
1488,2971,-5
1489,2972,-6
1490,2974,-6
1491,2975,-7
1492,2978,-6
1493,2979,-7
1494,2981,-7
1495,2982,-8
1496,2986,-6
1497,2987,-7
1498,2989,-7
1499,2990,-8
1500,2993,-7
1501,2994,-8
1502,2996,-8
1503,2997,-9
1504,3003,-5
1505,3004,-6
1506,3006,-6
1507,3007,-7
1508,3010,-6
1509,3011,-7
1510,3013,-7
1511,3014,-8
1512,3018,-6
1513,3019,-7
1514,3021,-7
1515,3022,-8
1516,3025,-7
1517,3026,-8
1518,3028,-8
1519,3029,-9
1520,3034,-6
1521,3035,-7
1522,3037,-7
1523,3038,-8
1524,3041,-7
1525,3042,-8
1526,3044,-8
1527,3045,-9
1528,3049,-7
1529,3050,-8
1530,3052,-8
1531,3053,-9
1532,3056,-8
1533,3057,-9
1534,3059,-9
1535,3060,-10
1536,3070,-2
1537,3071,-3
1538,3073,-3
1539,3074,-4
1540,3077,-3
1541,3078,-4
1542,3080,-4
1543,3081,-5
1544,3085,-3
1545,3086,-4
1546,3088,-4
1547,3089,-5
1548,3092,-4
1549,3093,-5
1550,3095,-5
1551,3096,-6
1552,3101,-3
1553,3102,-4
1554,3104,-4
1555,3105,-5
1556,3108,-4
1557,3109,-5
1558,3111,-5
1559,3112,-6
1560,3116,-4
1561,3117,-5
1562,3119,-5
1563,3120,-6
1564,3123,-5
1565,3124,-6
1566,3126,-6
1567,3127,-7
1568,3133,-3
1569,3134,-4
1570,3136,-4
1571,3137,-5
1572,3140,-4
1573,3141,-5
1574,3143,-5
1575,3144,-6
1576,3148,-4
1577,3149,-5
1578,3151,-5
1579,3152,-6
1580,3155,-5
1581,3156,-6
1582,3158,-6
1583,3159,-7
1584,3164,-4
1585,3165,-5
1586,3167,-5
1587,3168,-6
1588,3171,-5
1589,3172,-6
1590,3174,-6
1591,3175,-7
1592,3179,-5
1593,3180,-6
1594,3182,-6
1595,3183,-7
1596,3186,-6
1597,3187,-7
1598,3189,-7
1599,3190,-8
1600,3197,-3
1601,3198,-4
1602,3200,-4
1603,3201,-5
1604,3204,-4
1605,3205,-5
1606,3207,-5
1607,3208,-6
1608,3212,-4
1609,3213,-5
1610,3215,-5
1611,3216,-6
1612,3219,-5
1613,3220,-6
1614,3222,-6
1615,3223,-7
1616,3228,-4
1617,3229,-5
1618,3231,-5
1619,3232,-6
1620,3235,-5
1621,3236,-6
1622,3238,-6
1623,3239,-7
1624,3243,-5
1625,3244,-6
1626,3246,-6
1627,3247,-7
1628,3250,-6
1629,3251,-7
1630,3253,-7
1631,3254,-8
1632,3260,-4
1633,3261,-5
1634,3263,-5
1635,3264,-6
1636,3267,-5
1637,3268,-6
1638,3270,-6
1639,3271,-7
1640,3275,-5
1641,3276,-6
1642,3278,-6
1643,3279,-7
1644,3282,-6
1645,3283,-7
1646,3285,-7
1647,3286,-8
1648,3291,-5
1649,3292,-6
1650,3294,-6
1651,3295,-7
1652,3298,-6
1653,3299,-7
1654,3301,-7
1655,3302,-8
1656,3306,-6
1657,3307,-7
1658,3309,-7
1659,3310,-8
1660,3313,-7
1661,3314,-8
1662,3316,-8
1663,3317,-9
1664,3325,-3
1665,3326,-4
1666,3328,-4
1667,3329,-5
1668,3332,-4
1669,3333,-5
1670,3335,-5
1671,3336,-6
1672,3340,-4
1673,3341,-5
1674,3343,-5
1675,3344,-6
1676,3347,-5
1677,3348,-6
1678,3350,-6
1679,3351,-7
1680,3356,-4
1681,3357,-5
1682,3359,-5
1683,3360,-6
1684,3363,-5
1685,3364,-6
1686,3366,-6
1687,3367,-7
1688,3371,-5
1689,3372,-6
1690,3374,-6
1691,3375,-7
1692,3378,-6
1693,3379,-7
1694,3381,-7
1695,3382,-8
1696,3388,-4
1697,3389,-5
1698,3391,-5
1699,3392,-6
1700,3395,-5
1701,3396,-6
1702,3398,-6
1703,3399,-7
1704,3403,-5
1705,3404,-6
1706,3406,-6
1707,3407,-7
1708,3410,-6
1709,3411,-7
1710,3413,-7
1711,3414,-8
1712,3419,-5
1713,3420,-6
1714,3422,-6
1715,3423,-7
1716,3426,-6
